Month,Infected,Cured,Deaths
Mar 6,1,-,-
Mar 7,3,-,-
Mar 8,5,-,-
Mar 9,7,-,-
Mar 10,7,-,-
Mar 11,10,-,-
Mar 12,21,-,-
Mar 13,32,-,-
Mar 14,44,-,-
Mar 15,61,-,-
Mar 16,72,-,-
Mar 17,97,-,-
Mar 18,105,-,-
Mar 19,124,-,-
Mar 20,137,-,-
Mar 21,178,-,-
Mar 22,185,-,-
Mar 23,204,-,-
Mar 24,216,-,-
Mar 25,226,2,-
Mar 26,269,2,-
Mar 27,292,2,-
Mar 28,314,2,-
Mar 29,336,2,-
Mar 30,363,3,1
Mar 31,400,3,1
Apr 1,426,5,1
Apr 2,450,5,1
Apr 3,471,8,1
Apr 4,485,8,1
Apr 5,534,8,1
Apr 6,581,8,2
Apr 7,682,13,2
Apr 8,701,16,2
Apr 9,715,23,2
Apr 10,728,23,2
Apr 11,742,23,2
Apr 12,816,107,2
Apr 13,835,113,2
Apr 14,863,151,6
Apr 15,977,167,8
Apr 16,1049,175,9
Apr 17,1089,213,11
Apr 18,1121,229,12
Apr 19,1173,251,13
Apr 20,1199,258,14
Apr 21,1244,284,14
Apr 22,1325,288,15
Apr 23,1360,355,17
Apr 24,1373,386,17
Apr 25,1379,397,18
Apr 26,1381,403,18
Apr 27,1384,423,20
Apr 28,1391,484,22
Apr 29,1396,524,23
Apr 30,1403,558,23
May 1,1407,608,24
May 2,1408,619,24
May 3,1413,643,25
May 4,1421,741,25
May 5,1429,762,25
May 6,1445,806,26
May 7,1455,905,26
May 8,1455,919,26
May 9,1457,941,26
May 10,1457,959,26
May 11,1465,983,27
May 12,1469,1060,27
May 13,1477,1112,27
May 14,1480,1131,27
May 15,1493,1151,28
May 16,1494,1163,28
May 17,1495,1185,28
May 18,1495,1192,28
May 19,1496,1231,28
May 20,1502,1245,28
May 21,1503,1256,28
May 22,1504,1280,28
May 23,1509,1300,28
May 24,1511,1307,28
May 25,1513,1322,28
May 26,1515,1327,28
May 27,1520,1332,28
May 28,1520,1338,28
May 29,1521,1356,28
May 30,1521,1366,28
May 31,1522,1368,28
Jun 1,1522,1372,28
Jun 2,1525,1375,28
Jun 3,1526,1376,28
Jun 4,1526,1379,28
Jun 5,1528,1379,28
Jun 6,1528,1389,28
Jun 7,1530,1396,28
Jun 8,1531,1402,28
Jun 9,1533,1404,28
Jun 10,1541,1409,28
Jun 11,1542,1409,28
Jun 12,1545,1410,28
Jun 13,1548,1410,28
Jun 14,1552,1410,28
Jun 15,1552,1426,28
Jun 16,1561,1437,28
Jun 17,1561,1443,28
Jun 18,1576,1447,28
Jun 19,1586,1447,28
Jun 20,1587,1447,28
Jun 21,1588,1447,28
Jun 22,1589,1448,28
Jun 23,1607,1448,28
Jun 24,1630,1452,28
Jun 25,1643,1455,28
Jun 28,1665,1464,28
Jun 29,1667,1464,28
Jun 30,1687,1466,28
Jul 3,1720,1466,28
Jul 6,1765,1466,28
Jul 9,1870,1481,28
Jul 12,1902,1493,28
Jul 19,1980,1538,28
Jul 26,2181,1616,28
Aug 2,2354,1746,29
Aug 9,2599,1866,31
Aug 14,2801,1944,31
Aug 24,3424,2153,33
Aug 30,3917,2377,33
Sep 6,4636,2802,37
Oct 12,20355,6031,61
Oct 20,31400,8004,98
Nov 3,63556,14257,235
Nov 12,81772,24314,464
Nov 20,93396,40816,614
