Latest available time period in brackets,Male,Female
France (2009),738,755
South Africa (2010),695,695
China (2008),696,692
India (1999),703,670
Belgium (2005),671,695
Hungary (1999-2000),681,683
Portugal (1999),677,674
Italy (2008),671,670
Turkey (2006),669,670
Estonia (2009-2010),664,663
Denmark (2001),643,673
Australia (2006),649,666
Korea (2009),651,654
Poland (2003-04),642,658
New Zealand (2009-10),639,656
Japan (2011),637,656
Germany (2001-02),636,656
United States (2014),630,660
Austria (2008-09),632,652
Finland (2009-10),631,651
Netherlands (2005-06),619,657
Spain (2009-10),625,639
Slovenia (2000-01),632,630
Norway (2010),616,640
Mexico (2009),619,620
Ireland (2005),602,629
Canada (2010),595,617
Sweden (2010),573,617
United Kingdom (2005),574,598
