Year,Cars*,Trucks**
2019,49.8%,50.2%
2018,47.9%,52.1%
2017,52.5%,47.5%
2016,55.3%,44.7%
2015,57.4%,42.6%
2014,59.3%,40.7%
2013,64.1%,35.9%
2012,64.4%,35.6%
2011,57.8%,42.2%
2010,62.8%,37.2%
2009,67%,33%
2008,59.3%,40.7%
2007,58.9%,41.1%
2006,57.9%,42.1%
2005,55.6%,44.4%
2004,52%,48%
2003,53.9%,46.1%
2002,55.2%,44.8%
2001,58.6%,41.4%
2000,58.8%,41.2%
1999,58.3%,41.7%
1998,58.3%,41.7%
1997,60.1%,39.9%
1996,62.2%,37.8%
1995,63.5%,36.5%
1994,61.9%,38.1%
1993,67.6%,32.4%
1992,68.6%,31.4%
1991,69.6%,30.4%
1990,70.4%,29.6%
1989,70.1%,29.9%
1988,70.9%,29.1%
1987,72.8%,27.2%
1986,72.1%,27.9%
1985,75.2%,24.8%
1984,76.5%,23.5%
1983,78%,22%
1982,80.5%,19.5%
1981,82.8%,17.2%
1980,83.5%,16.5%
1979,77.9%,22.1%
1978,77.5%,22.5%
1977,80.1%,19.9%
1976,78.9%,21.1%
1975,80.7%,19.3%
