Year,Intensive care unit (ICU),Ventilated cases
11/10,1,0
10/10,3,0
09/10,4,0
08/10,3,0
07/10,6,0
06/10,5,0
05/10,6,2
04/10,6,1
03/10,6,3
02/10,6,3
01/10,9,3
30/09,9,3
29/09,8,4
28/09,11,4
27/09,12,5
26/09,12,5
25/09,11,6
24/09,11,7
23/09,11,7
22/09,11,6
21/09,8,4
20/09,10,6
19/09,12,7
18/09,15,9
17/09,16,9
16/09,16,9
15/09,17,10
14/09,18,10
13/09,17,7
12/09,15,10
11/09,18,12
10/09,23,15
09/09,26,15
08/09,29,16
07/09,32,21
06/09,26,20
05/09,27,19
04/09,27,17
03/09,26,18
02/09,23,16
01/09,26,10
31/08,27,17
30/08,31,15
29/08,32,21
28/08,35,21
27/08,35,15
26/08,45,20
25/08,42,23
24/08,38,22
23/08,39,26
22/08,43,27
21/08,47,31
20/08,51,33
19/08,52,34
18/08,52,37
17/08,51,37
16/08,47,34
15/08,48,33
14/08,47,31
13/08,44,31
12/08,51,32
11/08,51,33
10/08,54,37
09/08,51,32
08/08,53,35
07/08,51,33
06/08,52,0
05/08,42,30
04/08,44,0
03/08,43,0
02/08,46,30
01/08,50,28
31/07,44,27
30/07,40,0
29/07,46,0
28/07,47,0
"27/07""",49,24
26/07,46,22
25/07,46,0
24/07,44,0
23/07,41,0
22/07,42,25
21/07,38,22
20/07,33,17
19/07,29,0
18/07,26,18
17/07,32,22
16/07,30,0
15/07,28,0
14/07,27,0
13/07,18,0
12/07,17,0
11/07,16,0
10/07,13,0
09/07,10,0
08/07,8,0
07/07,10,0
06/07,6,0
05/07,4,0
04/07,4,0
03/07,7,0
02/07,5,0
01/07,3,0
30/06,1,0
29/06,1,0
28/06,1,0
27/06,1,0
26/06,1,0
25/06,2,0
24/06,2,0
23/06,3,0
22/06,2,0
21/06,2,0
20/06,3,0
19/06,2,0
18/06,2,2
17/06,3,2
16/06,3,2
15/06,4,0
14/06,3,0
13/06,2,0
12/06,2,0
11/06,2,2
10/06,3,2
09/06,2,1
08/06,3,2
07/06,3,2
06/06,4,2
05/06,2,2
04/06,4,2
03/06,5,2
02/06,4,2
01/06,3,1
31/05,4,1
30/05,4,1
29/05,4,3
28/05,5,2
27/05,6,6
26/05,5,5
25/05,5,5
24/05,5,5
23/05,5,5
22/05,7,6
21/05,9,7
20/05,9,7
19/05,11,7
18/05,12,7
17/05,16,12
16/05,16,12
15/05,17,13
14/05,18,13
13/05,17,14
30/04,34,22
29/04,38,26
28/04,42,27
27/04,43,27
26/04,42,25
25/04,43,29
24/04,42,29
23/04,45,29
22/04,47,31
21/04,47,33
20/04,49,32
19/04,48,33
18/04,55,34
17/04,60,38
16/04,66,38
15/04,76,41
14/04,80,44
13/04,79,46
12/04,81,35
11/04,80,38
10/04,72,38
09/04,81,36
08/04,87,36
07/04,93,37
