Occupation(s),Male,Female
Management,1120714,823876
Business and financial,393196,501582
Computer and mathematical,327465,109756
Architecture and engineering,263761,56137
"Life, physical, and social science",75285,73256
Community and social service,119341,262832
Legal,65122,109766
"Educational instruction, and library",295851,853398
"Arts, design, entertainment, sports, and media",206432,172528
Health diagnosing and treating practitioners and other technical,132517,357379
Health technologists and technicians,115806,282332
Healthcare support,149165,908497
"Firefighting and prevention, and other protective service*",219320,79301
Law enforcement workers*,174647,46852
Food preparation and serving related,1190502,1143849
Building and grounds cleaning and maintenance,1129943,1056785
Personal care and service,198029,577047
Sales and related,1171985,1440869
Office and administrative support,813491,2063621
"Farming, fishing, and forestry",378785,136944
Construction and extraction,2779588,94317
"Installation, maintenance, and repair",899989,33692
Production,1322661,690055
Transportation,1104101,161376
Material moving,1061380,459378
