State,Democrats,Republican
Alabama,1,1
Alaska,0,2
Arizona,1,1
Arkansas,0,2
California,2,0
Colorado,1,1
Connecticut,2,0
Delaware,2,0
Florida,0,2
Georgia,0,2
Hawaii,2,0
Idaho,0,2
Illinois,2,0
Indiana,0,2
Iowa,0,2
Kansas,0,2
Kentucky,0,2
Louisiana,0,2
Maine,0,1
Maryland,2,0
Massachusetts,2,0
Michigan,2,0
Minnesota,2,0
Mississippi,0,2
Missouri,0,2
Montana,1,1
Nebraska,0,2
Nevada,0,2
New Hampshire,2,0
New Jersey,2,0
New Mexico,2,0
New York,2,0
North Carolina,0,2
North Dakota,1,1
Ohio,1,1
Oklahoma,0,2
Oregon,2,0
Pennsylvania,1,1
Rhode Island,2,0
South Carolina,0,2
South Dakota,0,2
Tennessee,0,2
Texas,0,2
Utah,0,2
Vermont,1,0
Virginia,2,0
Washington,2,0
West Virginia,1,1
Wisconsin,1,1
Wyoming,0,2
