Month,Infected,Deaths,Cured
Feb 28,1,-,-
Mar 10,3,-,-
Mar 13,6,-,-
Mar 14,7,-,1
Mar 15,12,-,1
Mar 16,17,-,1
Mar 17,26,-,1
Mar 18,34,-,1
Mar 19,48,-,1
Mar 20,63,1,1
Mar 21,99,1,1
Mar 22,129,1,1
Mar 23,179,1,1
Mar 24,209,1,1
Mar 25,279,2,1
Mar 26,299,4,1
Mar 27,354,5,1
Mar 28,382,7,1
Mar 29,460,7,1
Mar 30,484,7,1
Mar 31,533,7,7
Apr 1,581,8,7
Apr 2,649,8,7
Apr 3,696,9,7
Apr 4,771,9,7
Apr 5,811,13,7
Apr 6,843,14,7
Apr 7,880,15,7
Apr 8,912,15,8
Apr 9,955,15,8
Apr 10,999,17,8
Apr 11,1026,23,54
Apr 12,1053,23,54
Apr 13,1062,24,101
Apr 14,1070,26,101
Apr 15,1091,30,138
Apr 16,1128,30,178
Apr 17,1149,32,210
Apr 18,1239,33,228
Apr 19,1298,33,242
Apr 20,1326,36,242
Apr 21,1350,37,298
Apr 22,1370,38,357
Apr 23,1398,38,399
Apr 24,1410,40,430
Apr 25,1426,41,460
Apr 26,1438,41,467
Apr 27,1449,41,474
Apr 28*,1344,44,536
Apr 29,1375,45,563
Apr 30,1385,45,589
May 1,1399,45,594
May 2,1406,46,632
May 3,1410,46,635
May 4,1419,46,638
May 5,1423,46,678
May 6,1428,48,718
May 7,1433,49,739
May 8,1436,49,765
May 9,1444,49,828
May 10,1479,50,828
May 11,1485,50,833
May 12,1491,50,850
May 13,1505,54,908
May 14,1511,54,934
May 15,1523,54,965
May 16,1534,55,988
May 17,1541,56,997
May 18,1547,59,997
May 19,1562,60,1025
May 20,1577,60,1049
May 21,1593,61,1049
May 22,1604,61,1111
May 23,1616,63,1135
May 24,1623,63,1138
May 25,1635,63,1138
May 26,1639,65,1165
May 27,1647,66,1184
May 28,1656,68,1193
May 29,1662,68,1216
May 30,1670,70,1229
May 31,1675,70,1236
Jun 1,1678,70,1236
Jun 2,1682,71,1249
Jun 3,1684,71,1260
Jun 4,1687,71,1273
Jun 5,1694,71,1302
Jun 6,1705,71,1321
Jun 7,1714,71,1328
Jun 8,1720,71,1331
Jun 9,1727,72,1338
Jun 10,1733,74,1369
Jun 11,1752,74,1372
Jun 12,1756,74,1400
Jun 13,1763,75,1417
Jun 14,1768,75,1427
Jun 15,1773,76,1429
Jun 16,1776,76,1441
Jun 17,1778,76,1447
Jun 18,1784,76,1449
Jun 19,1792,76,1462
Jun 20,1795,76,1470
Jun 21,1798,76,1475
Jun 22,1801,76,1475
Jun 23,1803,77,1483
Jun 24,1804,78,1484
Jun 25,1806,78,1494
Jun 26,1808,78,1501
Jun 29,1816,78,1512
Jun 30,1817,78,1515
Jul 1,1818,78,1524
Jul 3,1828,79,1539
Jul 10,1861,79,1569
Jul 13,1874,79,1571
Jul 20,1947,80,1601
Jul 27,2019,80,1620
Aug 3,2120,80,1645
Aug 10,2265,81,1670
Aug 14,2352,81,1691
Aug 24,2673,85,1766
Aug 31,2906,86,1840
Sep 7,3100,86,1955
Oct 12,6248,103,2793
Oct 20,7928,118,3276
Nov 3,17453,175,4934
Nov 12,29812,244,7096
Nov 20,42757,357,10498
