Month and year,Imports,Exports
May20,27191.49,10512.35
Apr20,26603.55,10489.14
Mar20,28812.99,13944.86
Feb20,26574.05,14467.08
Jan20,31991.49,13705.46
Dec19,33176.45,14072.67
Nov19,33942.08,15031.77
Oct19,36401.99,15776.94
Sep19,34378.68,14426.27
Aug19,35267.48,15206.57
Jul19,35936.33,13841.97
Jun19,35365.46,14479.44
May19,36062.86,15617.91
Apr19,32569.39,13942.97
Mar19,31136.33,15813.67
Feb19,29528.12,14460.16
Jan19,34363.19,14021.13
Dec18,36863.46,14295.21
Nov18,37565.81,15145.17
Oct18,41462.61,16204.83
Sep18,38194.19,14818.56
Aug18,37710.2,15816.53
Jul18,36839.04,14241.45
Jun18,35300.07,15512.8
May18,37283.56,15204.35
Apr18,35362.18,15161.13
Mar18,34032.49,16160.89
Feb18,33251.23,14573.67
Jan18,37301.25,14104.12
Dec17,38292.57,15594.74
Nov17,42173.76,15358.64
Oct17,39717.93,15347.73
Sep17,37392.87,14504.74
Aug17,38004.43,15075.96
Jul17,36530.75,13923.97
Jun17,37238.7,15368.39
May17,37205.15,14069.64
Apr17,34709.4,14101.09
Mar17,34877.16,15968.79
Feb17,29683.72,13760.82
Jan17,34888.43,13468.37
