Country,Not a moral issue,Unacceptable,Acceptable
Czech Republic,10%,66%,17%
India,13%,62%,14%
Chile,16%,67%,13%
Venezuela,9%,76%,12%
France,40%,47%,12%
Japan,14%,69%,12%
South Africa,11%,65%,11%
Argentina,12%,72%,11%
Israel,13%,73%,11%
Germany,26%,60%,11%
Ghana,2%,86%,10%
Italy,16%,64%,10%
Poland,13%,71%,9%
Mexico,12%,73%,9%
Spain,27%,64%,8%
South Korea,8%,81%,8%
Kenya,7%,80%,8%
China,12%,74%,8%
Russia,9%,69%,7%
Nigeria,12%,77%,7%
Bolivia,6%,84%,7%
Uganda,8%,80%,7%
Brazil,9%,84%,6%
Senegal,24%,68%,5%
Greece,12%,79%,5%
Philippines,4%,90%,5%
Canada,17%,76%,4%
El Salvador,4%,89%,4%
Australia,13%,79%,4%
Britain,15%,76%,4%
United States,10%,84%,4%
Tunisia,4%,90%,3%
Malaysia,6%,90%,2%
Turkey,2%,94%,2%
Egypt,4%,93%,2%
Jordan,5%,93%,1%
Indonesia,4%,93%,1%
Palestinian ter.,4%,94%,1%
Lebanon,3%,92%,0%
Pakistan,3%,92%,0%
