Month,Online and other non-store,Grocery and beverage stores,General merchandise stores,Health and personal care stores,Furniture and home furnishing stores,Sporting goods stores,Building materials and garden supply stores,Clothing and clothing accessory stores,Electronics and appliance stores,Total retail sales*
Oct20,26.3%,11.6%,4.8%,3.1%,5.8%,14.1%,17%,-11.3%,-3.3%,10.6%
Aug20,20.1%,8.3%,-0.2%,3.3%,0.4%,8%,11.9%,-23.5%,-3.4%,5.6%
Jun20,30.2%,11.4%,0.7%,-2.5%,-1.9%,22.4%,22.6%,-24.3%,-11.7%,9.3%
Apr20,21.2%,13.3%,-13.8%,-10.8%,-66.3%,-48.7%,1.2%,-89.3%,-64.8%,-21.6%
Feb20,0.7%,0%,0%,0%,-0.4%,0.1%,-1.3%,-1.2%,-1.4%,4.3%
Dec19,14.6%,2.9%,-0.4%,1.6%,2.6%,-0.4%,1%,-1.6%,-2%,4.1%
Oct19,14.6%,4%,1.9%,1.7%,1.6%,0.4%,-0.2%,-1.7%,-3%,4.2%
Aug19,14.3%,4.9%,2.2%,2.9%,-0.1%,3.8%,-0.6%,2.3%,-2.9%,4.6%
Jun19,11.6%,2.1%,2.3%,3.4%,1.7%,-5.3%,-4.7%,-1.6%,-5.8%,2.3%
Apr19,11.9%,4.6%,4.4%,6.1%,-0.7%,-4.7%,3.3%,3.9%,-3.4%,5.2%
Feb19,10.1%,1.9%,1.1%,5.7%,-2.7%,-8.2%,1.5%,-0.5%,-3.8%,2.7%
