oblast of Russia,Total cases,New cases,Active cases,Recoveries,Deaths
Moscow,722178,6937,154907,557028,10243
Saint Petersburg,193300,3757,74827,111781,6692
Moscow Oblast,135130,1485,37007,95478,2645
Nizhny Novgorod Oblast,63302,503,5422,56440,1440
Sverdlovsk Oblast,53335,402,6411,45629,1295
Rostov Oblast,46614,389,7326,37506,1782
Krasnoyarsk Krai,42253,334,5336,35453,1464
Voronezh Oblast,41167,388,735,39530,902
Arkhangelsk Oblast,38391,393,8844,29158,389
Khanty-Mansi Autonomous Okrug,38386,227,3635,34262,489
Irkutsk Oblast,37013,279,3519,32452,1042
Ulyanovsk Oblast,32635,286,2330,29890,415
Murmansk Oblast,32540,282,2207,29752,581
Stavropol Krai,31923,240,2819,28448,656
Volgograd Oblast,31855,278,1223,30239,393
Saratov Oblast,31827,262,4325,27162,340
Chelyabinsk Oblast,30666,310,7396,22836,434
Khabarovsk Krai,30648,341,5198,25257,193
Altai Krai,30117,218,1863,27522,732
Yamalo-Nenets Autonomous Okrug,29791,188,7600,21891,300
Samara Oblast,27418,302,1675,25214,529
Omsk Oblast,26935,240,1842,24319,774
Komi Republic,26658,287,2954,23211,493
Orenburg Oblast,26427,179,3136,23004,287
Perm Krai,26326,331,4922,20471,933
Primorsky Krai,26184,240,7321,18550,313
Novosibirsk Oblast,25805,171,3369,21570,866
Krasnodar Krai,25294,187,7410,17122,762
Zabaykalsky Krai,23987,262,1704,21934,349
Sakha (Yakutia) Republic,23842,205,2176,21327,339
Kemerovo Oblast,23842,157,2817,20585,440
Penza Oblast,23485,195,3803,19396,286
Buryatia Republic,23114,212,1660,20926,528
Karelia Republic,22638,351,7273,15229,136
Kirov Oblast,22469,228,6458,15796,215
Tomsk Oblast,21984,187,4430,17353,201
Dagestan Republic,21430,152,1897,18475,1058
Tyumen Oblast,21245,168,1160,19910,175
Leningrad Oblast,20861,235,1882,18784,195
Crimea Republic,20695,356,4370,15920,405
Bryansk Oblast,20520,199,1824,18515,181
Tula Oblast,20141,207,1898,17635,608
Yaroslavl Oblast,19827,190,1126,18565,136
Belgorod Oblast,19426,182,1754,17481,191
Tver Oblast,19195,233,4744,14022,429
Orel Oblast,19046,176,1763,17047,236
Ivanovo Oblast,18865,177,4536,13927,402
Kaluga Oblast,18838,170,1122,17577,139
Vologda Oblast,18727,367,4349,14063,315
Kursk Oblast,18415,184,1513,16643,259
Pskov Oblast,18041,375,8590,9359,92
Bashkortostan Republic,16944,159,3294,13533,117
Udmurt Republic,16870,212,3121,13397,352
Astrakhan Oblast,16678,179,4796,11557,325
Ryazan Oblast,16363,134,1325,14915,123
Vladimir Oblast,16202,188,1263,14526,413
Tambov Oblast,15651,145,1607,13892,152
Novgorod Oblast,15590,207,4046,11447,97
Khakassia Republic,15306,178,2836,12284,186
Kaliningrad Oblast,15078,198,3067,11869,142
Smolensk Oblast,14987,154,3524,11161,302
Chuvashia Republic,14827,130,1205,13222,400
Kabardino-Balkarian Republic,14500,100,1937,12315,248
Amur Oblast,14054,143,1437,12512,105
Tyva Republic,13967,85,1028,12782,157
Karachay-Cherkess Republic,13931,93,1501,12393,37
Lipetsk Oblast,13905,157,2974,10739,192
Sakhalin Oblast,13831,140,3025,10794,12
Kostroma Oblast,13545,119,3268,10073,204
Kalmykia Republic,13440,103,2154,11105,181
Altai Republic,12844,115,469,12307,68
Mordovia Republic,12352,90,2177,10096,79
Tatarstan Republic,11975,97,1360,10445,170
Ingushetia Republic,10991,89,1606,9262,123
North Ossetia - Alania Republic,10866,87,1134,9649,83
Kurgan Oblast,10612,109,1140,9339,133
Adygea Republic,9847,103,1968,7804,75
Kamchatka Krai,9091,78,982,8027,82
Mari El Republic,8511,53,839,7563,109
Chechen Republic,6876,142,3570,3220,86
Magadan Oblast,6480,42,474,5947,59
Sevastopol,5682,80,180,5315,187
Jewish Autonomous Oblast,3457,29,1002,2395,60
Nenets Autonomous Okrug,739,4,62,677,0
Chukotka Autonomous Okrug,477,6,46,427,4
