United States Presidents,"Heart attack, failure or cardiovascular disease",Stroke,Gunshot wound,Pneumonia/respiratory illness,Cancer,Other***,Still Living**,Average
Jimmy Carter,-,-,-,-,-,-,96.13,-
George H. W. Bush,-,-,-,-,-,94.47,-,-
Gerald Ford,93.45,-,-,-,-,-,-,-
Ronald Reagan,-,-,-,93.33,-,-,-,-
John Adams,90.68,-,-,-,-,-,-,-
Herbert Hoover,-,-,-,-,90.19,-,-,-
Harry S. Truman,-,-,-,-,-,88.63,-,-
James Madison,85.28,-,-,-,-,-,-,-
Thomas Jefferson,-,-,-,-,-,83.22,-,-
Richard Nixon,-,81.28,-,-,-,-,-,-
John Quincy Adams,-,80.62,-,-,-,-,-,-
Martin Van Buren,-,-,-,79.63,-,-,-,-
Dwight D. Eisenhower,78.45,-,-,-,-,-,-,-
Andrew Jackson,78.23,-,-,-,-,-,-,-
Joe Biden****,-,-,-,-,-,-,78,-
James Buchanan,-,-,-,77.11,-,-,-,-
Donald Trump,-,-,-,-,-,-,74.42,-
George W. Bush,-,-,-,-,-,-,74.36,-
Bill Clinton,-,-,-,-,-,-,74.24,-
Millard Fillmore,-,74.16,-,-,-,-,-,-
James Monroe,-,-,-,-,-,73.18,-,-
William Howard Taft,72.47,-,-,-,-,-,-,-
AVERAGE**,-,-,-,-,-,-,-,72.07
John Tyler,-,71.81,-,-,-,-,-,-
Grover Cleveland,71.26,-,-,-,-,-,-,-
Rutherford B. Hayes,70.29,-,-,-,-,-,-,-
William Henry Harrison *,-,-,-,-,-,68.15,-,-
George Washington,-,-,-,-,-,67.81,-,-
Benjamin Harrison,-,-,-,67.56,-,-,-,-
Woodrow Wilson,-,67.1,-,-,-,-,-,-
Andrew Johnson,-,66.59,-,-,-,-,-,-
Zachary Taylor *,-,-,-,-,-,65.62,-,-
Franklin Pierce,-,-,-,-,-,64.87,-,-
Lyndon B. Johnson,64.41,-,-,-,-,-,-,-
Ulysses S. Grant,-,-,-,-,63.24,-,-,-
Franklin D. Roosevelt *,-,63.2,-,-,-,-,-,-
Calvin Coolidge,60.51,-,-,-,-,-,-,-
Theodore Roosevelt,-,-,-,-,-,60.19,-,-
Barack Obama,-,-,-,-,-,-,59.28,-
William McKinley *,-,-,58.62,-,-,-,-,-
Warren G. Harding *,57.75,-,-,-,-,-,-,-
Chester A. Arthur,-,57.12,-,-,-,-,-,-
Abraham Lincoln *,-,-,56.17,-,-,-,-,-
James K. Polk,-,-,-,-,-,53.62,-,-
James A. Garfield *,-,-,49.83,-,-,-,-,-
John F Kennedy *,-,-,46.48,-,-,-,-,-
