Country,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
EU-27,2450,1900,2475,1550,2324,1745,2200,2240
Turkey,145,175,140,170,170,177,263,220
Morocco,120,120,120,120,130,110,140,145
Tunisia,180,180,70,340,140,100,280,140
Syria,200,150,145,105,110,110,100,100
Algeria,52,52,57,82,82,63,83,76
Jordan,22,25,25,23,30,20,25,24
Lebanon,18,18,18,21,23,25,23,24
Australia,19,19,14,20,20,21,21,22
Argentina,-,-,-,-,22,38,44,20
Libya,15,15,15,15,15,16,18,18
United States,4,4,5,5,14,15,16,16
