province of China,Minimum level,Maximum level
Beijing,24.0,24.0
Shanghai,22.0,22.0
Tianjin,20.8,20.8
Guangdong,14.0,20.3
Shandong,15.5,19.1
Henan,15.0,19.0
Hebei,16.0,19.0
Sichuan,16.3,18.7
Inner Mongolia,15.5,18.6
Guizhou,16.5,18.6
Fujian,15.0,18.5
Shanxi,15.2,18.5
Jiangsu,14.5,18.5
Zhejiang,13.6,18.4
Liaoning,13.2,18.3
Xinjiang,14.6,18.2
Anhui,14.0,18.0
Chongqing,17.0,18.0
Hubei,13.0,18.0
Shaanxi,16.0,18.0
Guangxi,14.0,17.5
Hunan,12.5,17.0
Jilin,14.0,17.0
Gansu,15.4,17.0
Jiangxi,14.7,16.8
Tibet,16.0,16.0
Heilongjiang,12.0,16.0
Ningxia,13.5,15.5
Hainan,14.0,15.3
Qinghai,15.2,15.2
Yunnan,13.0,15.0
