State,Barack Obama,Mitt Romney
California,7854285,4839958
New York,4471871,2485432
Florida,4237756,4163447
Texas,3308124,4569843
Illinois,3019512,2135216
Pennsylvania,2990274,2680434
Ohio,2827621,2661407
Michigan,2564569,2115256
North Carolina,2178391,2270395
New Jersey,2122786,1478088
Virginia,1971820,1822522
Massachusetts,1921290,1188314
Georgia,1773827,2078688
Washington,1755396,1290670
Maryland,1677844,971869
Wisconsin,1620985,1410966
Minnesota,1546167,1320225
Colorado,1323101,1185243
Missouri,1223796,1482440
Indiana,1152887,1420543
Arizona,1025232,1233654
Oregon,970488,754175
Tennessee,960709,1462330
Connecticut,905083,634892
South Carolina,865941,1071645
Iowa,822544,730617
Louisiana,809141,1152262
Alabama,795696,1255925
Kentucky,679370,1087190
Mississippi,562949,710746
Nevada,531373,463567
Oklahoma,443547,891325
Kansas,440726,692634
New Mexico,415335,335788
Maine,401306,292276
Arkansas,394409,647744
New Hampshire,369561,329918
Hawaii,306658,121015
Nebraska,302081,475064
Rhode Island,279677,157204
District of Columbia,267070,21381
Utah,251813,740600
Delaware,242584,165484
West Virginia,238269,417655
Idaho,212787,420911
Montana,201839,267928
Vermont,199239,92698
South Dakota,145039,210610
North Dakota,124966,188320
Alaska,122640,164676
Wyoming,69286,170962
