Year,<0.3 million,0.3-0.5 million,0.5-1 million,1-5 million,5-10 million
2005,8640.0,1033.0,915.0,3927.0,0.0
2006,7908.0,1071.0,1852.0,4007.0,0.0
2007,8093.0,1110.0,1887.0,4088.0,0.0
2008,8292.0,1151.0,1923.0,4171.0,0.0
2009,8506.0,1193.0,951.0,5264.0,0.0
2010,8732.0,1236.0,964.0,5375.0,0.0
2011,8970.0,1282.0,976.0,5488.0,0.0
2012,9218.0,1329.0,989.0,5604.0,0.0
2013,9475.0,1378.0,0.0,6725.0,0.0
2014,9733.0,1429.0,0.0,6859.0,0.0
2015,9988.0,964.0,517.0,6998.0,0.0
2016,10234.0,998.0,537.0,7144.0,0.0
2020,9390.69,314.43,593.6,1437.55,5331.8
