Country,Fixed speed change,Mobile speed change
Global,2%,8%
Afghanistan,-20%,-14%
Albania,3%,1%
Algeria,-7%,34%
Argentina,2%,10%
Armenia,1%,15%
Australia,19%,6%
Austria,7%,0%
Azerbaijan,9%,15%
Bahrain,9%,2%
Bangladesh,-5%,-2%
Belarus,3%,-4%
Belgium,6%,1%
Bolivia,-14%,21%
Bosnia and Herzegovina,5%,1%
Brazil,11%,12%
Bulgaria,6%,4%
Cambodia,-1%,-10%
Canada,1%,-3%
Chile,12%,-14%
China*,32%,47%
Colombia,8%,5%
Costa Rica,-3%,39%
Croatia,1%,5%
Cyprus,11%,20%
Czechia,2%,0%
Denmark,5%,5%
Dominican Republic,4%,4%
Ecuador,0%,10%
El Salvador,2%,63%
Estonia,2%,5%
Ethiopia,-20%,-19%
Finland,5%,-12%
France,-2%,10%
Georgia,2%,3%
Germany,-8%,8%
Ghana,19%,-11%
Greece,10%,9%
Guatemala,-10%,19%
Honduras,7%,0%
Hong Kong (SAR),14%,63%
Hungary,2%,-4%
India,-1%,4%
Indonesia,2%,11%
Iraq,50%,61%
Ireland,-3%,8%
Israel,14%,-2%
Italy,5%,16%
Jamaica,11%,13%
Japan,6%,4%
Jordan,12%,32%
Kazakhstan,12%,13%
Kenya,-21%,0%
Kuwait,11%,9%
Kyrgyzstan,39%,23%
Laos,2%,-16%
Latvia,4%,4%
Lebanon,54%,1%
Libya,-2%,11%
Lithuania,2%,5%
Luxembourg,-1%,-1%
Macau (SAR),13%,96%
Malaysia,-1%,13%
Maldives,-2%,-8%
Mexico,7%,18%
Moldova,-19%,-3%
Mongolia,25%,-10%
Montenegro,4%,18%
Morocco,-7%,9%
Mozambique,-7%,4%
Myanmar,-2%,-2%
Nepal,-4%,5%
Netherlands,-1%,0%
New Zealand,7%,2%
Nicaragua,-1%,-17%
Nigeria,-4%,-8%
North Macedonia,-2%,-5%
Norway,7%,0%
Oman,30%,-18%
Pakistan,-4%,6%
Panama,8%,31%
Paraguay,3%,11%
Peru,-20%,3%
Philippines,-15%,0%
Poland,-4%,2%
Portugal,0%,5%
Qatar,12%,5%
Romania,4%,9%
Russia,10%,9%
Saudi Arabia,5%,7%
Serbia,10%,9%
Singapore,2%,4%
Slovakia,13%,-7%
Slovenia,5%,20%
South Africa,16%,-7%
Spain,4%,-3%
Sri Lanka,-11%,-24%
Sudan,-11%,7%
Sweden,5%,-1%
Switzerland,6%,10%
Syria,24%,15%
Taiwan,42%,12%
Tajikistan,23%,12%
Tanzania,3%,39%
Thailand,21%,12%
Trinidad and Tobago,0%,106%
Tunisia,8%,21%
Turkey,-4%,8%
Ukraine,7%,18%
United Arab Emirates,24%,13%
United Kingdom,-2%,0%
United States,4%,6%
Uruguay,11%,-6%
Uzbekistan,8%,16%
Venezuela,-13%,3%
Vietnam,29%,3%
