Year and candidate,Democrat,Republican,People's Party
2020: Donald Trump,-,6,-
2016: Donald Trump*,-,6,-
2012: Mitt Romney,-,6,-
2008: John McCain,-,6,-
2004: George W. Bush*,-,6,-
2000: George W. Bush*,-,6,-
1996: Bob Dole,-,6,-
1992: George H. W. Bush,-,6,-
1988: George H. W. Bush*,-,7,-
1984: Ronald Reagan*,-,7,-
1980: Ronald Reagan*,-,7,-
1976: Gerald R. Ford,-,7,-
1972: Richard Nixon*,-,7,-
1968: Richard Nixon*,-,7,-
1964: Lyndon B. Johnson*,7,-,-
1960: Richard Nixon,-,8,-
1956: Dwight D. Eisenhower*,-,8,-
1952: Dwight D. Eisenhower*,-,8,-
1948: Thomas E. Dewey,-,8,-
1944: Thomas E. Dewey,-,8,-
1940: Wendell Wilkie,-,9,-
1936: Franklin D. Roosevelt*,9,-,-
1932: Franklin D. Roosevelt*,9,-,-
1928: Herbert Hoover*,-,10,-
1924: Calvin Coolidge*,-,10,-
1920: Warren G. Harding*,-,10,-
1916: Woodrow Wilson*,10,-,-
1912: Woodrow Wilson*,10,-,-
1908: William Howard Taft*,-,10,-
1904: Theodore Roosevelt*,-,10,-
1900: William McKinley*,-,10,-
1896: William Jennings Bryan,10,-,-
1892: James B. Weaver,-,-,10
1888: Benjamin Harrison*,-,9,-
1884: James G. Blaine,-,9,-
1880: James A. Garfield*,-,5,-
1876: Rutherford B. Hayes*,-,5,-
1872: Ulysses S. Grant*,-,5,-
1868: Ulysses S. Grant*,-,3,-
1864: Abraham Lincoln*,-,3,-
