Response,Completely agree / mostly agree,Completely disagree / mostly disagree,Don't know / refused
Germany,84%,14%,1%
India,83%,14%,3%
Poland,83%,14%,4%
France,80%,20%,0%
Japan,80%,19%,1%
China,73%,25%,2%
South Korea,70%,28%,2%
Britain,70%,27%,4%
United States,68%,29%,3%
Spain,68%,31%,0%
Brazil,66%,33%,0%
Russia,63%,29%,7%
Nigeria,62%,35%,2%
Pakistan,60%,29%,12%
Kenya,60%,39%,1%
Argentina,58%,40%,3%
Turkey,52%,37%,10%
Indonesia,46%,53%,1%
Egypt,44%,54%,2%
Mexico,43%,55%,2%
Jordan,39%,49%,12%
Lebanon,29%,70%,1%
