Country,Statutory minimum holidays,Public holidays
Brazil,30,11
Finland,30,10
France,30,10
Lithuania,28,13
Russia,28,12
United Kingdom,28,8
Poland,26,10
Austria,25,13
Greece,25,12
Sweden,25,11
Luxembourg,25,10
Norway,25,10
Denmark,25,9
Malta,24,14
Hungary,23,10
Spain,22,14
Portugal,22,13
South Africa,21,12
Romania,21,9
Japan,20,16
Slovakia,12,16
Cyprus,20,15
Slovenia,20,15
Latvia,20,13
Czech Republic,20,12
Italy,20,12
New Zealand,20,11
Belgium,20,11
Germany,20,10
Ireland,20,10
Switzerland,20,9
Australia,20,9
Netherlands,20,8
South Korea,20,8
Taiwan,19,15
USA,15,13
Hong Kong,15,10
Singapore,14,12
India,14,11
China,10,11
Canada,10,9
