Year and candidate,Democrat,Republican,Unaffiliated,Democratic-Republican,Whig,Rejected votes,American Independent,Liberal Republican
2020: Joe Biden*,16,-,-,-,-,-,-,-
2016: Donald Trump*,-,16,-,-,-,-,-,-
2012: Mitt Romney,-,16,-,-,-,-,-,-
2008: John McCain,-,15,-,-,-,-,-,-
2004: George W. Bush*,-,15,-,-,-,-,-,-
2000: George W. Bush*,-,13,-,-,-,-,-,-
1996: Bob Dole,-,13,-,-,-,-,-,-
1992: Bill Clinton*,13,-,-,-,-,-,-,-
1988: George H. W. Bush*,-,12,-,-,-,-,-,-
1984: Ronald Reagan*,-,12,-,-,-,-,-,-
1980: Jimmy Carter,12,-,-,-,-,-,-,-
1976: Jimmy Carter*,12,-,-,-,-,-,-,-
1972: Richard Nixon*,-,12,-,-,-,-,-,-
1968: George Wallace,-,-,-,-,-,-,12,-
1964: Barry M. Goldwater,-,12,-,-,-,-,-,-
1960: John F. Kennedy*,12,-,-,-,-,-,-,-
1956: Adlai Stevenson,12,-,-,-,-,-,-,-
1952: Adlai Stevenson,12,-,-,-,-,-,-,-
1948: Harry S. Truman*,12,-,-,-,-,-,-,-
1944: Franklin D. Roosevelt*,12,-,-,-,-,-,-,-
1940: Franklin D. Roosevelt*,12,-,-,-,-,-,-,-
1936: Franklin D. Roosevelt*,12,-,-,-,-,-,-,-
1932: Franklin D. Roosevelt*,12,-,-,-,-,-,-,-
1928: Al Smith,14,-,-,-,-,-,-,-
1924: John W. Davis,14,-,-,-,-,-,-,-
1920: James M. Cox,14,-,-,-,-,-,-,-
1916: Woodrow Wilson*,14,-,-,-,-,-,-,-
1912: Woodrow Wilson*,14,-,-,-,-,-,-,-
1908: William Jennings Bryan,13,-,-,-,-,-,-,-
1904: Alton B. Parker,13,-,-,-,-,-,-,-
1900: William Jennings Bryan,13,-,-,-,-,-,-,-
1896: William Jennings Bryan,13,-,-,-,-,-,-,-
1892: Grover Cleveland*,13,-,-,-,-,-,-,-
1888: Grover Cleveland,12,-,-,-,-,-,-,-
1884: Grover Cleveland*,12,-,-,-,-,-,-,-
1880: Winfield Hancock,11,-,-,-,-,-,-,-
1876: Samuel J. Tilden,11,-,-,-,-,-,-,-
"1872**: Benjamin G. Brown (6), Charles Jenkins (2), Horace Greeley (3)",2,-,-,-,-,3,-,6
1868: Horatio Seymour,9,-,-,-,-,-,-,-
1864: Seceded from Union,-,-,-,-,-,-,-,-
1860: John C. Breckenridge,10,-,-,-,-,-,-,-
1856: James Buchanan*,10,-,-,-,-,-,-,-
1852: Franklin Pierce*,10,-,-,-,-,-,-,-
1848: Zachary Taylor*,-,-,-,-,10,-,-,-
1844: James K. Polk*,10,-,-,-,-,-,-,-
1840: William Henry Harrison*,-,-,-,-,11,-,-,-
1836: Hugh Lawson White,-,-,-,-,11,-,-,-
1832: Andrew Jackson*,11,-,-,-,-,-,-,-
1828: Andrew Jackson*,9,-,-,-,-,-,-,-
1824: William H. Crawford,-,-,-,9,-,-,-,-
1820: James Monroe*,-,-,-,8,-,-,-,-
1816: James Monroe*,-,-,-,8,-,-,-,-
1812: James Madison*,-,-,-,8,-,-,-,-
1808: James Madison*,-,-,-,6,-,-,-,-
1804: Thomas Jefferson*,-,-,-,6,-,-,-,-
1800: Thomas Jefferson*,-,-,-,4,-,-,-,-
1796: Thomas Jefferson,-,-,-,4,-,-,-,-
1792: George Washington*,-,-,4,-,-,-,-,-
1789: George Washington*,-,-,5,-,-,-,-,-
