Kind of business,Motor vehicle and parts dealers[NAICS 441],Furniture and home furnishing stores[NAICS 442],Electronics and appliance stores[NAICS 443],Building material and garden equipment and supplies dealers[NAICS 444],Food and beverage stores[NAICS 445],Health and personal care stores[NAICS 446],Gasoline stations[NAICS 447],Clothing and clothing accessories stores[NAICS 448],"Sporting goods, hobby, musical instrument, and book stores[NAICS 451]",General merchandise stores[NAICS 452],Miscellaneous store retailers[NAICS 453],Nonstore retailers[NAICS 454]
2004,2959,354,342,1008,1675,681,1107,650,250,1699,356,782
2005,3006,369,359,1086,1721,711,1282,680,255,1788,363,865
2006,3016,378,369,1120,1760,748,1414,714,263,1858,381,953
2007,3021,369,366,1065,1819,787,1500,734,269,1921,386,1025
2008,2584,325,356,993,1872,811,1656,709,265,1957,364,1050
2009,2190,276,319,853,1853,824,1275,667,253,1920,332,1014
2010,2402,275,322,842,1877,842,1449,690,253,1952,337,1102
2011,2609,281,327,865,1955,872,1712,734,252,2005,348,1208
2012,2825,292,331,897,2002,873,1770,763,259,2047,351,1301
2013,3036,302,331,955,2028,892,1739,774,262,2063,356,1371
2014,3207,313,330,1000,2102,940,1693,787,263,2096,364,1479
2015,3411,332,323,1034,2137,983,1384,798,267,2104,372,1589
2016,3532,342,307,1080,2166,1013,1309,805,268,2091,376,1738
2017,3607,348,303,1125,2231,1026,1414,802,259,2114,383,1936
2018,3647,358,307,1167,2283,1064,1543,821,248,2162,398,2133
