Month,2012,2013,2014,2015,2016,2017
Dec,109.88,58.74,77.71,68.04,69546,-
Nov,120.76,66.11,103.7,104.51,75086,-
Oct,103.84,39.74,81.63,111.74,70583,-
Sept,98.04,17.48,73.03,91.14,48121,138.9
Aug,95.13,51.95,85.77,102.37,44494,115.32
Jul,96.86,74.15,70.89,82.81,43151,108.74
Jun,81.32,82.66,70.33,78.23,36152,108.92
May,85.98,87.83,63.6,91.74,45419,89.67
Apr,108.25,98.62,71.7,81.41,53365,76.85
Mar,109.41,128.42,72.34,92.47,67772,110.09
Feb,76.0,91.48,55.93,61.27,47542,91.74
Jan,79.11,88.29,50.59,55.14,52684,71.79
