Year,Total male population,Total female population
2020,3374.12,3574.32
2019,3400.05,3600.06
2018,3426.09,3625.52
2017,3451.94,3650.51
2016,3477.21,3674.74
2015,3501.63,3698.11
2014,3525.16,3720.49
2013,3547.96,3742.13
2012,3570.36,3763.64
2011,3592.8,3785.86
2010,3615.63,3809.38
2009,3639.03,3834.48
2008,3663.04,3861.04
2007,3687.87,3888.81
2006,3713.68,3917.34
2005,3740.65,3946.31
2004,3768.92,3975.71
2003,3798.6,4005.71
2002,3829.86,4036.38
2001,3862.85,4067.85
2000,3897.7,4100.26
1999,3933.94,4133.07
1998,3971.47,4166.2
1997,4011.26,4200.55
1996,4054.58,4237.4
1995,4101.97,4277.33
1994,4153.94,4320.89
1993,4209.2,4366.84
1992,4264.37,4412.01
1991,4314.89,4452.12
1990,4357.45,4484.01
1989,4390.88,4506.66
1988,4415.85,4520.8
1987,4433.16,4527.4
1986,4444.36,4528.19
1985,4450.73,4524.63
1984,4452.2,4516.71
1983,4448.71,4504.41
1982,4441.56,4489.15
1981,4432.41,4472.68
1980,4422.51,4456.28
1979,4412.51,4440.69
1978,4402.28,4425.75
1977,4391.21,4410.69
1976,4378.27,4394.28
1975,4362.77,4375.62
1974,4344.6,4354.57
1973,4324.16,4331.55
1972,4301.75,4306.91
1971,4277.81,4281.22
1970,4252.68,4254.86
1969,4226.58,4228
1968,4199.45,4200.56
1967,4171.14,4172.36
1966,4141.33,4143.12
1965,4109.9,4112.69
1964,4076.82,4081.02
1963,4042.4,4048.3
1962,4007.19,4014.97
1961,3971.91,3981.56
1960,3937.14,3948.47
1959,3903.15,3915.85
1958,3869.94,3883.67
1957,3837.38,3851.76
1956,3805.29,3819.9
1955,3773.55,3787.94
1954,3742.16,3755.79
1953,3711.21,3723.47
1952,3680.94,3691.08
1951,3651.71,3658.82
1950,3624.01,3626.99
.....,-,-
1946,3517,3513
1934,3054,3024
1926,2743,2736
1920**,2421,2426
....,-,-
1910,2207,2131
1905,2057,1978
1900,1910,1835
1893,1691,1620
1888,1605,1549
...,-,-
1881*,1028,980
