Country,"Single, childless","Couple, 2 children"
Greece,41.6%,44.5%
France,48.9%,41.6%
Belgium,55.8%,41%
Austria,49.1%,38.4%
Italy,47.8%,38.2%
Finland,43.1%,38.1%
Sweden,42.9%,37.7%
Turkey,38.6%,37.4%
Spain,40.7%,34.8%
Hungary,49%,34.1%
Germany,49.3%,33.8%
Estonia,39.9%,32.3%
Norway,37.3%,31.2%
Netherlands,36.9%,30.8%
Poland,35.6%,29.8%
Portugal,41.1%,29.8%
Slovak Republic,41.1%,27.6%
Denmark,38.2%,27.6%
United Kingdom,31.5%,27%
Japan,31.6%,26.1%
Slovenia,42.3%,23.1%
Czech Republic,42.4%,20.5%
United States,31.3%,20.3%
Mexico,19.2%,19.2%
Iceland,33.4%,19.1%
Korea,21.4%,19%
Canada,31.1%,18.7%
Israel,20.7%,17.4%
Australia,27.4%,16.9%
Luxembourg,37%,14.3%
Switzerland,22%,9.5%
Chile,7%,7%
Ireland,26.6%,6.8%
New Zealand,16.9%,2.4%
