Annual family income in U.S. dollars,All Races,White alone,"White alone, not Hispanic",Black alone,Asian alone,Hispanic (any race)
"Under 10,000",2798,1821,1236,678,154,661
"10,000 to 19,999",3212,2168,1509,770,142,750
"20,000 to 29,999",4933,3430,2320,1092,204,1253
"30,000 to 39,999",5733,4307,3105,982,243,1334
"40,000 to 49,999",6025,4727,3561,812,263,1279
"50,000 to 59,999",5869,4706,3647,743,238,1185
"60,000 to 69,999",5304,4215,3315,662,267,1004
"70,000 to 79,999",5089,4118,3334,561,257,876
"80,000 to 89,999",4564,3662,3020,498,264,698
"90,000 to 99,999",4271,3445,2918,489,254,574
"100,000 to 149,999",15728,12870,11175,1455,975,1891
"150,000 to 199,999",8780,7231,6466,575,712,877
"200,000 to 249,999",4561,3736,3383,320,430,403
"250,000 and above",6831,5666,5325,316,734,385
Total,83698,66102,54313,9954,5137,13172
