Month,Cumlative number of patients,Hospitalized,(Mild to moderate symptoms),(Severe symptoms),Deaths,Discharged
December 4,42793,1721,1668,53,509,38044
November 27,39649,1504,1443,61,488,35418
November 20,36778,1350,1313,37,477,32954
November 13,34144,1130,1091,39,470,31185
November 6,32135,978,941,37,461,29839
October 30,30881,973,942,31,455,28718
October 23,29706,964,941,23,445,27626
October 16,28604,1002,977,25,431,26306
October 9,27320,1006,985,21,421,24986
October 2,26169,1047,1025,22,409,23709
September 25,24843,1083,1053,30,399,22429
September 18,23828,1147,1121,26,390,21208
September 11,22631,1193,1169,24,380,20019
September 4,21475,1310,1282,28,369,18735
August 28,20322,1328,1298,30,358,17411
August 21,18865,1565,1532,33,350,15409
August 14,17069,1560,1536,24,338,13274
August 7,15107,1475,1452,23,333,11361
July 31,12691,1197,1181,16,332,9615
July 24,10680,1040,1024,16,327,7914
July 17,8933,836,826,10,326,6909
July 10,7515,487,482,5,325,6094
June 26,5997,223,206,17,325,5295
June 19,5709,209,191,18,320,5071
June 12,5473,228,205,23,313,4856
June 5,5343,272,246,26,309,4687
May 29,5217,342,311,31,302,4501
May 25,5160,474,435,39,288,4311
May 22,5136,561,519,42,263,4189
May 18,5065,935,883,52,241,3632
May 15,5036,1077,1024,53,219,3386
May 11,4883,2509,2444,65,189,2185
May 8,4810,2503,2425,78,171,2136
May 4,4654,2915,2823,92,150,1589
April 30,4152,2608,2507,101,120,1424
April 27,3947,2668,2575,93,106,1173
April 24,3733,2688,2625,63,93,952
April 22,3439,2461,2399,62,81,897
April 19,3082,2714,2657,57,71,297
April 16,2595,2487,2437,50,56,52
April 13,2158,2064,2024,40,42,52
April 11,1902,1810,1776,34,40,52
April 9,1519,1431,1401,30,36,52
April 6,1116,1034,1007,27,30,52
April 3,773,704,682,22,18,51
March 31,521,466,450,16,15,40
