Year,North America,Latin America,Europe,Africa,Commonwealth of Independent States,Middle East,Asia,Oceania
2000,315552,523211,518664,818847,281719,241784,3419032,26024
1950,171555,167747,398657,222945,177167,59788,1335745,11273
1900,81731,66092,300365,140755,120822,37195,902207,5265
1850,26214,34345,208429,102932,66759,28522,794119,1361
1800,7331,20116,149018,85589,45613,24568,656800,783
1750,3654,15586,122394,82677,33549,22848,532260,695
1700,1227,12259,98182,80209,23015,21253,366370,651
1600,984,8808,86304,72815,19495,21594,343376,579
1500,2100,39220,68423,62207,15947,17726,255241,505
1400,1931,36137,50947,57880,12815,16607,213026,432
1300,1742,33127,69479,53532,12812,18618,202672,421
1200,1602,30163,50553,47743,12131,19271,231209,408
1100,1440,27235,38060,44319,8940,18175,214043,395
1000,1325,24329,32260,41465,6692,20204,168382,383
900,1203,21703,29197,37126,6353,21195,151598,372
800,1080,19090,26150,3291,6015,20059,134817,362
700,1027,17998,23913,28185,6209,19164,128983,356
600,977,16973,21859,24446,6440,18273,123325,351
500,929,16011,25858,22307,6881,17862,120236,346
400,884,15105,29718,20677,7366,17555,117263,342
300,841,14253,31165,19315,7729,17288,114387,338
200,800,13451,32617,18270,8146,17097,111595,334
100,762,12695,30979,16627,8622,15922,109162,331
0,725,11982,29331,15186,9162,14805,106722,327
1000 BCE,540,7580,16727,9264,6108,10146,64400,302
2000 BCE,402,4851,10297,6260,4072,7034,38914,284
3000 BCE,300,3164,6558,4148,2715,4246,23417,273
4000 BCE,223,2093,4447,2352,1810,1896,14284,265
5000 BCE,167,1405,3067,1517,1207,1668,8629,260
6000 BCE,125,967,2134,1032,804,811,5332,257
7000 BCE,93,680,1499,708,536,476,3316,255
8000 BCE,70,489,1062,490,357,336,2079,253
9000 BCE,52,363,759,343,238,241,1317,252
10000 BCE,39,278,548,242,159,176,738,251
