month,Brazil,Peru,Colombia,Mexico,Argentina,Chile,Ecuador
9/11/2020,4238446,710067,694664,652364,512389,428669,113206
9/10/2020,4197889,702776,686856,647507,500130,427027,112166
9/9/2020,4162073,696190,679513,642860,488103,425541,110757
9/8/2020,4147794,691575,671848,637509,478888,424274,110092
9/7/2020,4137521,689977,666521,634023,471902,422510,109784
9/6/2020,4123000,683702,658456,629409,461978,420434,118045
9/5/2020,4092832,676848,650062,623090,451294,418469,117175
9/4/2020,4041638,670145,641574,616894,439268,416501,116360
9/3/2020,3997865,663437,633339,610957,428335,414739,115457
9/2/2020,3950931,657129,624069,606036,417831,413145,114309
9/1/2020,3908272,652037,615168,599560,408522,411726,113767
8/31/2020,3862311,647166,607938,595841,401335,409974,113648
8/30/2020,3846153,639435,599914,591712,392118,408009,112906
8/29/2020,3804803,629961,590520,585738,380388,405972,112141
8/28/2020,3761391,621997,582022,579914,370284,404102,111219
8/27/2020,3717156,613378,572270,573888,359734,402365,110549
8/26/2020,3669995,607382,562128,568621,350963,400985,109030
8/25/2020,3622861,600438,551696,563705,342250,399568,108289
8/24/2020,3605783,594326,541147,560164,336898,397665,107769
8/23/2020,3582362,585236,533103,556216,329139,395708,107089
8/22/2020,3532330,576067,522138,549734,320980,393769,106481
8/21/2020,3501975,567059,513719,543806,312755,391849,105508
8/20/2020,3456652,558420,502178,537031,306062,390037,104475
8/19/2020,3407354,549321,489122,531239,299222,388855,102941
8/18/2020,3359570,541493,476660,525733,294665,387502,101751
8/17/2020,3340197,535946,468332,522162,289196,385946,101542
8/16/2020,3317096,525803,456689,517714,282533,383902,100688
8/15/2020,3275520,516296,445111,511369,276168,382111,99409
8/14/2020,3224876,507996,433805,505751,268670,380034,98343
8/13/2020,3164785,498555,422519,498380,261007,378168,97110
8/12/2020,3109630,489680,410453,492522,253964,376616,95563
8/11/2020,3057470,483133,397623,485836,246595,375044,94701
8/10/2020,3035422,478024,387481,480278,241907,373056,94459
8/9/2020,3012412,471012,376870,475902,235773,371023,93572
8/8/2020,2962442,463875,367196,469407,228291,368825,91969
8/7/2020,2912212,455409,357710,462690,220778,366671,90537
8/6/2020,2859073,447624,345714,456100,213631,364723,88866
8/5/2020,2801921,439890,334979,449961,206839,362962,87963
8/4/2020,2750318,433100,327850,443813,202015,361493,87041
8/3/2020,2733677,428850,317651,439046,196639,359731,86524
8/2/2020,2707877,422183,306181,434193,191398,357658,86232
8/1/2020,2662485,414735,295508,424637,185469,355667,85355
7/31/2020,2610102,407492,286020,416179,179092,353536,84370
7/30/2020,2552265,400683,276055,408449,173451,351575,83193
7/29/2020,2483191,395005,267385,402697,167512,349800,82279
7/28/2020,2442375,389717,257101,395489,162622,347923,81161
7/27/2020,2419091,384797,248976,390516,162622,345790,80694
7/26/2020,2394513,379884,240795,385036,153616,343592,80036
7/25/2020,2343366,375961,233541,378285,148123,341304,79049
