Sub-category,2013,2014,2015,2016,2017,2018,2019,2020,2021
DePuy orthopedics & spine*,13.3%,13%,13.3%,13.8%,14.7%,15.5%,16.3%,16.9%,17.5%
Surgical devices*,13.7%,13.5%,13.7%,14.1%,14.7%,15.2%,15.6%,16%,16.1%
"Stents, catheters & other medical devices*",12.9%,11.2%,10.2%,10.4%,10.8%,11.1%,11.5%,11.8%,11.9%
"Procrit, Velcade & other**",12.2%,13.4%,14.4%,14.8%,13.7%,12.6%,12.1%,11.6%,11.3%
Remicade & immunology**,12.9%,14%,13.8%,13.1%,12.5%,12%,11%,10.4%,10.2%
Central nervous system**,9.35%,8.42%,7.72%,7.11%,6.66%,6.28%,6.01%,5.71%,5.6%
Anti-infectives**,4.98%,6.92%,7.02%,6.68%,6.45%,6.23%,6.03%,5.8%,5.63%
OTC drugs & nutritionals***,5.65%,5.36%,5.47%,5.55%,5.66%,5.76%,5.87%,5.93%,5.92%
"Women's health, wound & oral care***",6.55%,6.22%,6.34%,6.39%,6.54%,6.69%,6.85%,6.95%,6.97%
"Neutrogena, Aveena & other skin care***",5.19%,5.06%,5.13%,5.21%,5.38%,5.48%,5.59%,5.66%,5.66%
Baby care***,3.22%,3.02%,3%,2.98%,3.03%,3.09%,3.15%,3.18%,3.18%
