State,Very religious,Moderately religious,Nonreligious
Mississippi,59%,29%,12%
Alabama,54%,29%,17%
Utah,54%,16%,30%
Louisiana,52%,31%,17%
South Carolina,50%,30%,20%
Arkansas,50%,30%,19%
Tennessee,49%,30%,22%
North Carolina,46%,31%,23%
Nebraska,46%,29%,25%
Oklahoma,45%,30%,25%
Kentucky,45%,30%,26%
Georgia,44%,33%,23%
Kansas,44%,27%,29%
Texas,43%,32%,25%
Indiana,42%,27%,31%
North Dakota,40%,31%,29%
Missouri,39%,30%,32%
Idaho,39%,24%,37%
Virginia,38%,30%,31%
West Virginia,38%,31%,31%
New Mexico,38%,26%,36%
Ohio,37%,30%,33%
National average,37%,30%,33%
Iowa,37%,30%,32%
Minnesota,37%,28%,35%
South Dakota,37%,30%,33%
Michigan,36%,29%,34%
Maryland,36%,32%,33%
Pennsylvania,36%,30%,34%
Wyoming,36%,26%,38%
Delaware,35%,31%,34%
Wisconsin,35%,30%,35%
Illinois,35%,29%,36%
Florida,35%,32%,33%
New Jersey,32%,33%,36%
Rhode Island,32%,29%,39%
Montana,32%,29%,39%
Arizona,31%,31%,39%
New York,31%,29%,40%
Colorado,30%,27%,43%
California,29%,30%,41%
Connecticut,29%,29%,42%
Oregon,28%,25%,48%
Hawaii,28%,27%,44%
Alaska,28%,25%,47%
Washington,28%,26%,47%
Nevada,26%,33%,41%
Massachusetts,26%,26%,49%
New Hampshire,23%,26%,51%
Maine,22%,22%,55%
Vermont,16%,26%,59%
