Country,"April 1, 2020","June 11, 2020","July 26, 2020","November 25, 2020"
United Kingdom,240.4,9193.1,16168.2,57670.0
United States,321.6,6485.7,15297.7,55266.3
Spain,759.3,9550.5,12889.4,34759.2
Italy,895.5,7349.8,10850.7,34660.1
France,154.8,2481.0,4568.9,30791.5
Switzerland,1510.1,5102.6,8814.9,30310.1
Germany,423.1,4718.0,7610.1,29851.1
Canada,662.6,5270.5,9967.5,29217.6
Netherlands,454.5,2404.3,2404.3,21705.9
Turkey,126.6,2965.3,5421.8,20831.4
Brazil,21.5,5032.6,5884.1,7859.2
Iran (Islamic Republic of),95.2,1370.4,2589.8,6793.9
