industrial groupings,March,June,July,August,September,October
Manufacture of transport equipment,-52.6%,-26.4%,-11.5%,10%,-4.1%,5.6%
"Manufacture of textiles, wearing apparel, leather, and accessories",-51.2%,-26.7%,-20.6%,-2.8%,-20.8%,-17.4%
Manufacture of machinery and equipment n.e.c.,-40.1%,-14.4%,-7.7%,-5.4%,-11.9%,-5.1%
"Manufacture of basic metals and fabricated metal products, except machinery",-37%,-16%,-10.5%,1%,-5.4%,-1.9%
Manufacture of electrical equipment and of non-electric domestic appliances,-35.7%,-11.4%,-9.7%,0%,-3.9%,4%
Other manufacturing,-34.9%,-12.6%,-4.4%,8.8%,0.2%,3.5%
Total,-29.3%,-13.7%,-8%,-0.3%,-5.1%,-2.1%
"Manufacture of rubber, plastic products, and other non-metallic mineral products",-28.7%,-16.4%,-7.2%,2.8%,0%,2.8%
Mining and quarrying,-21.4%,1.5%,-10.2%,-7%,2.7%,-2.1%
Manufacture of computer and electronic products,-19.8%,-14.5%,-4.4%,0.5%,-0.8%,2.2%
"Manufacture of wood, paper, and printing",-15.5%,-10.3%,-8.1%,-6%,-1.6%,-2.1%
"Electricity, gas, steam, and air conditioning supply",-11.1%,-5%,-5.8%,1%,2%,-1%
Manufacture of chemical products,-11%,-12.7%,-9.2%,-5.1%,-6.4%,-4.4%
Manufacture of basic pharmaceutical products and pharmaceutical preparations,-9.1%,-6.1%,-1.4%,2.1%,-9.1%,-7.9%
Manufacture of coke and refined petroleum products,-9%,-22.9%,-21.4%,-17%,-20.4%,-17.4%
"Manufacture of food products, beverages, and tobacco",-6.5%,-4.7%,-0.4%,-2%,-1%,-1%
