Year and candidate,Democrat,Republican,Democratic-Republican,Whig
2020: Donald Trump,-,11,-,-
2016: Donald Trump*,-,11,-,-
2012: Mitt Romney,-,11,-,-
2008: Barack Obama*,11,-,-,-
2004: George W. Bush*,-,11,-,-
2000: George W. Bush*,-,12,-,-
1996: Bob Dole,-,12,-,-
1992: George H. W. Bush,-,12,-,-
1988: George H. W. Bush*,-,12,-,-
1984: Ronald Reagan*,-,12,-,-
1980: Ronald Reagan*,-,13,-,-
1976: Gerald R. Ford,-,13,-,-
1972: Richard Nixon*,-,13,-,-
1968: Richard Nixon*,-,13,-,-
1964: Lyndon B. Johnson*,13,-,-,-
1960: Richard Nixon,-,13,-,-
1956: Dwight D. Eisenhower*,-,13,-,-
1952: Dwight D. Eisenhower*,-,13,-,-
1948: Thomas E. Dewey,-,13,-,-
1944: Thomas E. Dewey,-,13,-,-
1940: Wendell Wilkie,-,14,-,-
1936: Franklin D. Roosevelt*,14,-,-,-
1932: Franklin D. Roosevelt*,14,-,-,-
1928: Herbert Hoover*,-,15,-,-
1924: Calvin Coolidge*,-,15,-,-
1920: Warren G. Harding*,-,15,-,-
1916: Charles Evans Hughes,-,15,-,-
1912: Woodrow Wilson*,15,-,-,-
1908: William Howard Taft*,-,15,-,-
1904: Theodore Roosevelt*,-,15,-,-
1900: William McKinley*,-,15,-,-
1896: William McKinley*,-,15,-,-
1892: Grover Cleveland*,15,-,-,-
1888: Benjamin Harrison*,-,15,-,-
1884: Grover Cleveland*,15,-,-,-
1880: James A. Garfield*,-,15,-,-
1876: Samuel J. Tilden,15,-,-,-
1872: Ulysses S. Grant*,-,15,-,-
1868: Ulysses S. Grant*,-,13,-,-
1864: Abraham Lincoln*,-,13,-,-
1860: Abraham Lincoln*,-,13,-,-
1856: James Buchanan*,13,-,-,-
1852: Franklin Pierce*,13,-,-,-
1848: Lewis Cass,12,-,-,-
1844: James K. Polk*,12,-,-,-
1840: William Henry Harrison*,-,-,-,9
1836: William Henry Harrison,-,-,-,9
1832: Andrew Jackson*,9,-,-,-
1828: Andrew Jackson*,5,-,-,-
1824: Andrew Jackson,-,-,5,-
1820: James Monroe*,-,-,3,-
1816: James Monroe*,-,-,3,-
