Month and year,Imports,Exports
May20,10877.85,4638.0
Apr20,11658.39,4714.71
Mar20,13003.91,6008.9
Feb20,10593.13,5599.4
Jan20,13135.37,5375.84
Dec19,13414.67,5557.75
Nov19,13639.52,5635.69
Oct19,15841.32,6064.25
Sep19,15173.45,5593.45
Aug19,13744.32,5786.95
Jul19,14981.92,5450.42
Jun19,13567.95,5681.25
May19,14008.69,6157.17
Apr19,13756.95,6239.98
Mar19,13520.3,6484.22
Feb19,10623.67,5604.39
Jan19,11581.4,5753.77
Dec18,12246.96,5824.02
Nov18,14242.35,5985.62
Oct18,15350.88,6673.19
Sep18,13956.13,6146.17
Aug18,14538.83,6490.0
Jul18,13587.39,6208.46
Jun18,13202.17,6753.01
May18,13614.01,6738.87
Apr18,11725.09,6559.78
Mar18,13288.89,6936.71
Feb18,10342.15,6069.75
Jan18,11307.6,5749.35
Dec17,11096.1,6375.29
Nov17,11854.57,6242.84
Oct17,11858.53,6208.06
Sep17,11674.97,6001.35
Aug17,12189.65,6119.92
Jul17,11557.52,5680.89
Jun17,11451.65,6568.71
May17,12024.05,6002.52
Apr17,11762.92,5774.74
Mar17,11004.26,6279.78
Feb17,9254.55,5337.09
Jan17,10266.1,5437.05
