Year,Current projection,Mandates easing,Universal masks
31-Mar,2851447,3261426,2507651
30-Mar,2843749,3249025,2503879
29-Mar,2835917,3236389,2500025
28-Mar,2827954,3223519,2496089
27-Mar,2819858,3210418,2492070
26-Mar,2811629,3197087,2487968
25-Mar,2803267,3183525,2483782
24-Mar,2794767,3169726,2479511
23-Mar,2786127,3155690,2475151
22-Mar,2777344,3141415,2470702
21-Mar,2768418,3126901,2466165
20-Mar,2759350,3112149,2461537
19-Mar,2750138,3097161,2456820
18-Mar,2740778,3081935,2452010
17-Mar,2731265,3066471,2447106
16-Mar,2721604,3050772,2442109
15-Mar,2711798,3034842,2437020
14-Mar,2701850,3018688,2431838
13-Mar,2691762,3002317,2426565
12-Mar,2681534,2985733,2421200
11-Mar,2671170,2968943,2415744
10-Mar,2660668,2951949,2410197
9-Mar,2650029,2934759,2404560
8-Mar,2639259,2917381,2398836
7-Mar,2628364,2899824,2393027
6-Mar,2617347,2882099,2387133
5-Mar,2606213,2864214,2381156
4-Mar,2594965,2846177,2375092
3-Mar,2583603,2827994,2368946
2-Mar,2572132,2809670,2362719
1-Mar,2560556,2791216,2356409
28-Feb,2548878,2772640,2350017
27-Feb,2537105,2753954,2343545
26-Feb,2525245,2735172,2336994
25-Feb,2513302,2716308,2330365
24-Feb,2501285,2697375,2323661
23-Feb,2489203,2678389,2316882
22-Feb,2477058,2659365,2310030
21-Feb,2464855,2640313,2303105
20-Feb,2452601,2621246,2296107
19-Feb,2440299,2602172,2289034
18-Feb,2427951,2583099,2281886
17-Feb,2415559,2564033,2274661
16-Feb,2403124,2544985,2267359
15-Feb,2390649,2525964,2259978
14-Feb,2378136,2506982,2252519
13-Feb,2365588,2488048,2244980
12-Feb,2353007,2469175,2237360
11-Feb,2340393,2450371,2229660
10-Feb,2327750,2431648,2221879
9-Feb,2315076,2413013,2214014
8-Feb,2302371,2394475,2206063
7-Feb,2289639,2376040,2198027
6-Feb,2276882,2357720,2189903
5-Feb,2264101,2339526,2181690
4-Feb,2251303,2321470,2173390
3-Feb,2238492,2303568,2165004
2-Feb,2225671,2285830,2156532
1-Feb,2212843,2268262,2147972
31-Jan,2200007,2250867,2139320
30-Jan,2187162,2233648,2130573
29-Jan,2174305,2216605,2121724
28-Jan,2161436,2199738,2112767
27-Jan,2148553,2183048,2103693
26-Jan,2135649,2166528,2094494
25-Jan,2122717,2150173,2085157
24-Jan,2109756,2133980,2075675
23-Jan,2096764,2117948,2066040
22-Jan,2083743,2102079,2056245
21-Jan,2070697,2086382,2046287
20-Jan,2057632,2070865,2036165
19-Jan,2044552,2055531,2025877
18-Jan,2031459,2040379,2015421
17-Jan,2018358,2025409,2004798
16-Jan,2005254,2010617,1994014
15-Jan,1992158,1996001,1983066
14-Jan,1979015,1981563,1971873
13-Jan,1965752,1967303,1960341
12-Jan,1952373,1953226,1948445
11-Jan,1938911,1939332,1936196
10-Jan,1925406,1925621,1923631
9-Jan,1911950,1912088,1910851
8-Jan,1898633,1898727,1897977
7-Jan,1885472,1885535,1885085
6-Jan,1872468,1872509,1872228
5-Jan,1859621,1859648,1859458
4-Jan,1846934,1846949,1846819
3-Jan,1834400,1834408,1834325
2-Jan,1822014,1822018,1821969
1-Jan,1809769,1809771,1809745
31-Dec,1797666,1797666,1797655
30-Dec,1785701,1785701,1785697
29-Dec,1773872,1773872,1773872
28-Dec,1762177,1762177,1762177
27-Dec,1750612,1750612,1750612
26-Dec,1739167,1739167,1739167
25-Dec,1727836,1727836,1727836
24-Dec,1716612,1716612,1716612
23-Dec,1705483,1705483,1705483
22-Dec,1694440,1694440,1694440
21-Dec,1683470,1683470,1683470
20-Dec,1672563,1672563,1672563
19-Dec,1661707,1661707,1661707
18-Dec,1661707,1661707,1661707
17-Dec,1650894,1650894,1650894
16-Dec,1650894,1650894,1650894
15-Dec,1640107,1640107,1640107
14-Dec,1640107,1640107,1640107
13-Dec,1629349,1629349,1629349
12-Dec,1629349,1629349,1629349
11-Dec,1618618,1618618,1618618
10-Dec,1618618,1618618,1618618
9-Dec,1607909,1607909,1607909
8-Dec,1597222,1597222,1597222
7-Dec,1586554,1586554,1586554
6-Dec,1575909,1575909,1575909
5-Dec,1565287,1565287,1565287
4-Dec,1554692,1554692,1554692
3-Dec,1544130,1544130,1544130
2-Dec,1533603,1533603,1533603
1-Dec,1523118,1523118,1523118
