Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018**,2019**
Germany***,3135.67,4325.66,4373.33,4289.26,4553.98,4753.2,4709.45,4224.42,4254.6,4396.29,3573.96,3507.28
United States***,801.29,1077.06,1273.1,1398.58,1886.03,2087.35,2328.18,2874.18,3075.7,3322.94,2738.2,3134.59
United Kingdom***,902.67,1088.14,1198.28,1331.62,1564.88,1565.48,1750.78,1829.71,1723.4,1742.31,1519.38,1557.78
France***,982.76,1216.32,1305.09,1347.35,1499.21,1623.48,1660.23,1552.76,1551.8,1632.13,1248.96,1275.34
China***,108.39,232.19,360.83,519.25,813.17,1015.82,1218.53,1207.42,1240.9,1318.09,1186.24,1261.01
Sweden***,915.84,1133.74,1194.43,1200.43,1236.07,1260.35,1202.36,1085.75,1161.8,1228.94,927.97,940.4
Italy***,329.11,520.19,618.42,636.44,730.52,837.99,962.1,988.44,1039.3,1097.01,842.5,878.49
Spain***,710.87,904.15,872.3,841.08,872.69,917.52,909.28,884.61,903.5,972.73,814.13,829.24
Russia***,-,53.66,130.79,218.21,318.9,391.67,412.06,395.65,492.6,682.23,633.48,716.51
Netherlands***,835.74,1064.84,1054.78,1009.5,1005.08,1030.32,986.36,860.02,903.9,894.34,713.87,712.44
Poland***,308.56,354.75,380.96,396.44,442.88,487.38,503.28,498.11,538,646.73,583.57,662.56
Switzerland***,600.26,869.19,874.15,865.18,874.79,841.96,801.89,782.61,724.2,706.13,568.11,593.54
Austria***,617.61,791.65,750.35,691.71,718.65,735.88,695.97,613.03,636,668.12,541.17,554.43
Denmark***,475.76,611.97,622.27,605.41,645.76,703.98,687.89,618.98,650.3,690.95,557.07,539.27
Canada***,222.93,315.05,387.36,400.34,469.63,461.58,419.88,448.02,495.6,572.29,504.51,532.68
Norway***,650.83,805.32,836.46,778.88,843.83,844.86,761.33,663.92,678.2,731.34,548.12,531.74
Japan***,24.36,159.83,256.16,223.55,376.31,449.53,452.22,429.27,526.5,575.87,504.95,521.49
Belgium***,384.1,503.79,477.63,455.61,497.13,525.85,525.92,481.98,504,538.47,421.25,440.66
Mexico***,-,-,-,-,7.06,49.61,80.58,125.44,178.7,275.69,315.14,385.34
Turkey***,-,-,4,44.59,66.57,110.05,178.54,250.77,322.3,385.51,314.92,292.48
Romania***,-,-,-,47.77,95.43,136.31,172.61,205.37,240.6,281.66,253.86,276.27
Australia,-,-,-,-,-,-,-,-,-,-,252.09,265.5
Finland***,301.42,365.83,366.54,343.33,365.03,386.03,362.2,320.75,328,339.14,266.33,264.56
South Korea***,-,-,36.41,59.17,89.27,123.64,133.4,146.03,191.7,237.57,216.09,231.41
India***,-,-,-,-,-,-,-,-,-,-,155.47,209.87
Hungary***,37.4,44.02,55.26,71.58,93.48,120.89,142.16,152.77,182,212.47,181.75,199.0
Greece***,37.03,69.05,92.24,110.26,126.39,149.74,178.81,187.19,216.4,233.5,189.7,195.44
Chile,-,-,-,-,-,-,-,-,-,-,164.3,191.78
Czech Republic***,82.43,95.95,100.95,104.2,115.57,127.3,130.57,138.02,163.4,193.47,177.78,187.08
Hong Kong***,-,-,-,-,-,-,-,-,-,-,165.85,151.42
Malaysia***,-,-,-,-,12.62,57.85,91.22,111.26,129.3,140.41,129.96,142.22
Portugal***,93.99,133.5,133.79,129.74,129.54,140.12,148.9,145.91,145.6,157.26,130.19,136.88
Philippines***,-,-,-,-,-,-,-,-,-,-,111.19,133.12
Ireland***,60.04,80.13,73.82,74.18,87.31,94.03,109.28,117.32,126.2,136.47,121.9,123.5
Peru,-,-,-,-,-,-,-,-,-,-,84.25,101.43
South Africa,-,-,-,-,-,-,-,-,-,-,92.97,97.98
Singapore***,-,-,-,16.02,61.47,93.57,106.99,110.92,117.9,114.84,88.45,85.96
Slovakia***,16.86,26.9,32.12,36.66,50.95,56.93,58.75,66.21,77.9,88.31,82.82,85.02
Croatia***,-,-,-,38.1,91.37,107.46,104.16,93.42,96.8,102.29,79.39,81.46
Bulgaria***,-,-,-,-,18.18,40.3,52.42,58.43,73.36,83.29,70.12,70.27
Taiwan***,-,-,-,-,-,-,-,-,-,-,69.23,67.97
Colombia,-,-,-,-,-,-,-,-,-,-,44.72,55.21
Slovenia***,73.08,88.47,81.1,72.16,72.89,71.44,66.84,60.49,62,65.84,53.88,52.81
Luxembourg***,43.18,59.13,57.97,55.56,56.21,58.92,56.32,49.51,53.1,55.33,44.83,51.24
Serbia,-,-,-,-,-,-,-,-,-,-,46.71,48.0
Vietnam,-,-,-,-,-,-,-,-,-,-,29.92,45.38
Estonia***,-,-,-,-,-,-,-,-,-,-,42.07,42.46
New Zealand,-,-,-,-,-,-,-,-,-,-,31.36,41.93
Lithuania***,-,-,-,-,-,-,-,-,-,-,38.76,41.51
Latvia***,-,-,-,-,5.41,19.84,33.01,35.33,38,47.2,39.31,38.17
Uruguay,-,-,-,-,-,-,-,-,-,-,7.07,34.72
Iceland,-,-,-,-,-,-,-,-,-,-,21.2,26.25
Ukraine,-,-,-,-,-,-,-,-,-,-,6.29,23.42
Kazakhstan,-,-,-,-,-,-,-,-,-,-,22.42,23.11
Macau***,-,-,-,-,-,-,-,-,-,-,13.25,13.07
Puerto Rico***,-,-,-,-,-,-,-,-,-,-,8.83,12.76
Georgia,-,-,-,-,-,-,-,-,-,-,11.26,12.55
Cyprus***,-,-,-,-,-,-,-,-,-,-,8.72,9.1
Bosnia-Herzegovina,-,-,-,-,-,-,-,-,-,-,0.0,3.35
Belarus,-,-,-,-,-,-,-,-,-,-,0.0,1.57
Franchise****,47.98,85.02,128.37,177.37,287.64,365.42,397.1,513.89,550.3,591.17,620.56,597.2
Total,12800.2,17075.5,18129.3,18589.5,21181.9,22909.7,23799.2,24004.4,25527,27696.63,23232.37,24339.19
