Response,Germany,United Kingdom,United States
5/31,42%,31%,37%
5/30,47%,24%,34%
5/29,40%,26%,39%
5/28,42%,27%,41%
5/27,38%,35%,34%
5/26,38%,33%,31%
5/25,47%,22%,32%
5/24,48%,30%,35%
5/23,40%,34%,41%
5/22,40%,24%,33%
5/21,40%,26%,34%
5/20,49%,26%,41%
5/19,35%,23%,48%
5/18,37%,28%,38%
5/17,36%,30%,42%
5/16,43%,19%,40%
5/15,40%,21%,33%
5/14,43%,29%,40%
5/13,29%,36%,30%
5/12,44%,33%,29%
5/11,37%,28%,41%
5/10,35%,19%,36%
5/09,35%,35%,37%
5/08,38%,26%,44%
5/07,48%,29%,31%
5/06,51%,35%,39%
5/05,38%,33%,33%
5/04,46%,34%,27%
5/03,31%,35%,35%
5/02,49%,29%,36%
5/01,44%,32%,36%
4/30,42%,31%,40%
4/29,39%,31%,34%
4/28,31%,26%,32%
4/27,44%,28%,40%
4/26,40%,22%,33%
4/25,45%,36%,42%
4/24,43%,25%,42%
4/23,37%,28%,34%
4/22,39%,31%,36%
4/21,47%,26%,32%
4/20,38%,35%,36%
4/19,46%,39%,33%
4/18,38%,39%,37%
4/17,52%,19%,35%
4/16,40%,32%,36%
4/15,43%,25%,39%
4/14,50%,32%,33%
4/13,48%,36%,48%
4/12,44%,39%,37%
4/11,34%,34%,29%
4/10,32%,35%,41%
4/09,43%,42%,34%
4/08,51%,40%,33%
4/07,44%,35%,33%
4/06,46%,37%,41%
4/05,50%,24%,39%
4/04,52%,40%,37%
4/03,43%,27%,37%
4/02,48%,30%,50%
4/01,36%,41%,41%
3/31,37%,40%,46%
3/30,46%,40%,35%
3/29,49%,36%,32%
3/28,40%,40%,39%
3/27,47%,37%,34%
3/26,51%,43%,40%
3/25,52%,42%,35%
3/24,42%,37%,46%
3/23,54%,33%,43%
