Year,Brazil,Russia,India,China
2009,2575.7,3058.21,4761.46,11044.73
2010,2802.32,3233.18,5311.15,12353.67
2011,2974.9,3467.94,5782.04,13809.85
2012,3090.41,3665.23,6214.49,15186.64
2013,3239.23,3796.67,6727.34,16658.42
2014,3315.85,3894.0,7359.58,18205.3
2015,3231.41,3857.64,8030.82,19664.07
2016,3157.63,3908.74,8783.89,21228.38
2017,3259.36,4053.81,9579.69,23130.72
2018,3382.59,4257.84,10413.61,25293.58
2019,3480.55,4389.96,11043.18,27306.98
2020*,3316.92,4176.35,11321.28,27804.95
2021*,3479.34,4406.63,12399.0,30956.73
