Month,Construction,"Law, economics, science and technology",Restaurant and hotel,Retail,Information and communication,Wholesale,Transportation,Trade in motor vehicles and service,"Surveillance, real estate services, office services, etc.","Other service companies and companies for personal services, etc."
Feb,102,50,46,54,30,29,35,14,32,21
Mar,125,72,78,58,25,41,43,18,25,20
Apr,119,80,99,88,28,55,34,24,26,25
May,90,81,74,81,17,43,36,20,25,21
Jun,90,67,60,52,36,33,30,26,17,10
Jul,77,61,33,47,16,37,16,18,15,12
Aug,63,28,24,33,14,24,24,16,10,7
Sep,72,34,37,43,12,24,26,13,10,9
Oct,90,44,55,57,24,29,31,16,21,11
Nov,105,65,55,52,14,37,34,24,26,14
