day,Driving,Walking
6/18,23.61%,-5.33%
6/17,18.66%,-6.32%
6/16,16.28%,-4.41%
6/15,18.27%,-3.82%
6/14,80.34%,-6.17%
6/13,24.84%,11.51%
6/12,33.37%,29.78%
6/11,28.93%,6.49%
6/10,42.18%,-7.36%
6/9,11.15%,-13.85%
6/8,4.4%,-19.62%
6/7,6.76%,-26.38%
6/6,7.31%,-1.96%
6/5,17.71%,-18.54%
6/4,7.46%,-15.51%
6/3,3.79%,-19.1%
6/2,-0.55%,-24.92%
6/1,4.53%,-19.53%
5/31,-1.73%,-34.63%
5/30,-7.61%,-28.94%
5/29,9.35%,-16.91%
5/28,-2.64%,-30.97%
5/27,-3.43%,-26.57%
5/26,-5.06%,-31.65%
5/25,-11.21%,-38.5%
5/24,-13.33%,-45.29%
5/23,-15.95%,-33.63%
5/22,0.67%,-22%
5/21,-4.87%,-27.38%
5/20,-10.13%,-30.14%
5/19,-15.02%,-37.18%
5/18,-17.98%,-38.77%
5/17,-16.6%,-40.14%
5/16,-22.81%,-39.59%
5/15,-12.05%,-39.24%
5/14,-22.08%,-48.67%
5/13,-23.56%,-49.07%
5/10,-10.42%,-32.6%
5/9,-18.35%,-30.85%
5/8,-13.59%,-37.01%
5/7,-25.43%,-47.75%
5/6,-31.78%,-57.16%
5/5,-34.08%,-57.35%
5/4,-32.82%,-52.03%
5/3,-36.27%,-58.37%
5/2,-40.38%,-55.16%
5/1,-42.65%,-60.66%
4/30,-27.35%,-51.21%
4/29,-36.56%,-58.78%
4/28,-34.34%,-48.33%
4/27,-38.62%,-53.23%
4/26,-44.47%,-59.25%
4/25,-49.22%,-63.57%
4/24,-38.72%,-54.74%
4/23,-41.08%,-54.26%
4/22,-44.89%,-59.13%
4/21,-46.92%,-61.26%
4/20,-48.94%,-61.82%
4/19,-62.45%,-75.54%
4/18,-62.91%,-73.53%
4/17,-54.46%,-70.15%
4/16,-56.96%,-72.43%
4/15,-57.25%,-74.09%
4/14,-59.84%,-76.48%
4/13,-73.02%,-84.1%
4/12,-80.22%,-83.78%
4/11,-74.12%,-80.24%
4/10,-59.66%,-72.19%
4/9,-56.52%,-71.07%
4/8,-58.06%,-72.44%
4/7,-60.44%,-72.75%
4/6,-62.56%,-74.9%
4/5,-69.8%,-80.63%
4/4,-70.49%,-79.4%
4/3,-63.4%,-76.84%
4/2,-64.22%,-76.91%
4/1,-63.67%,-77.43%
3/31,-62.62%,-75.63%
3/30,-63.15%,-76.39%
3/29,-68.58%,-79.03%
3/28,-63.3%,-68.1%
3/27,-60.18%,-70.88%
3/26,-62.68%,-74.79%
3/25,-63.85%,-75.76%
3/24,-58.35%,-71.57%
3/23,-60.02%,-72.41%
3/22,-66.08%,-77.62%
3/21,-64.46%,-75.3%
3/20,-56.6%,-68.61%
3/19,-55.79%,-66.63%
3/18,-53.78%,-61.02%
3/17,-54.73%,-64.23%
3/16,-54.91%,-66.73%
3/15,-57.66%,-66.65%
3/14,-49.37%,-62.33%
3/13,-30.69%,-34.62%
3/12,-22.51%,-23.81%
3/11,-11.19%,-10.53%
3/10,-6.07%,-2%
3/9,-3.76%,1.3%
3/8,-3.85%,4.38%
3/7,2.53%,40.02%
3/6,19.81%,39%
3/5,4.6%,13.93%
3/4,1.92%,2.14%
3/3,1.5%,5.4%
3/2,1.58%,4.14%
3/1,-0.84%,1.95%
2/29,4.55%,39.04%
2/28,22.21%,43.57%
2/27,7.81%,14.95%
2/26,4.46%,10.24%
2/25,6.9%,15.05%
2/24,4.7%,8.53%
2/23,3.59%,-10.15%
2/22,15.87%,41.61%
2/21,27.95%,37.91%
2/20,13.5%,28.8%
2/19,12.25%,22.87%
2/18,9.42%,20.41%
2/17,10.33%,23.96%
2/16,11.76%,11.39%
2/15,26.18%,51.64%
2/14,36.51%,53.65%
2/13,12.8%,20.41%
2/12,7.51%,6.34%
2/11,5.5%,4.69%
2/10,7.18%,3.19%
2/9,6.91%,1.55%
2/8,23.46%,38.24%
2/7,27.72%,32.31%
2/6,10.14%,7.15%
2/5,7.42%,5.21%
2/4,4.75%,2.45%
2/3,4.68%,7.99%
2/2,-1.76%,-5.16%
2/1,10.21%,32.36%
1/31,21.13%,30.87%
1/30,7.4%,3.17%
1/29,5.25%,-6.08%
1/28,1.66%,-2.29%
1/27,2.26%,1.08%
1/26,-2.94%,-13.32%
1/25,9.57%,22.84%
1/24,20.92%,27.56%
1/23,6.6%,5.54%
1/22,3.91%,-1.27%
1/21,1.87%,2.27%
1/20,2.17%,3.25%
1/19,-2.01%,-5.62%
1/18,10.25%,27.23%
1/17,22.96%,25.44%
1/16,8.02%,8.21%
1/15,3.79%,6.14%
1/14,1.09%,-1.02%
1/13,0%,0%
