quarter,Home Entertainment,Home Appliance & Air Solution,Mobile Communications,Vehicle Components,Businsess Solutions,Others
2Q '20,1.87,4.28,1.09,0.76,1.08,0.42
1Q '20,2.47,4.5,0.83,1.1,1.42,0.37
4Q '19,3.29,3.83,1.1,1.12,1.19,0.45
3Q '19,2.66,4.42,1.26,1.11,1.25,0.42
2Q '19,2.48,5.07,1.34,1.18,1.24,0.59
1Q '19,2.59,4.54,1.25,1.12,1.37,0.52
4Q '18,3.78,3.59,1.42,1.16,0.5,0.8
3Q '18,3.08,4.03,1.69,0.98,0.48,0.84
2Q '18,3.17,4.36,1.72,0.72,0.49,1.0
1Q '18,3.42,4.09,1.79,0.7,0.53,0.81
4Q '17,4.04,3.48,2.43,0.68,0.56,0.77
3Q '17,3.37,3.97,2.23,0.69,0.53,0.76
2Q '17,3.05,4.18,2.13,0.7,0.44,0.7
1Q '17,3.18,3.74,2.48,0.7,0.43,0.49
4Q '16,3.98,3.37,2.47,0.72,-,0.27
3Q '16,3.44,3.55,2.16,0.56,-,0.36
2Q '16,3.45,3.91,2.84,0.53,-,0.21
1Q '16,3.6,3.51,2.51,0.49,-,0.27
