Response,Approves,Would like
Airline check-in,61%,65%
Store and access itinary,50%,58%
Hotel check-in,44%,56%
Access destination information,36%,54%
Company-provided traveller alerts,31%,59%
Shop for travel,29%,36%
Trip plan sharing with colleagues,27%,53%
Company-provided emergency assistance program,26%,57%
Expense report creation and submission,26%,54%
Expense report approval,22%,50%
Company policy and preferred vendor information,19%,50%
Meetings registration,18%,39%
En-route service recovery,17%,58%
None,26%,11%
Other,2%,2%
