Response,Full-time freelancers,Part-time freelancers
To have flexibility in my schedule,79%,73%
To be my own boss,77%,66%
To work from the location of my choosing,74%,65%
To be able to choose my own projects,74%,64%
To have a schedule that enables me to pursue my personal passions,73%,66%
To be in control of my own financial future,72%,59%
To have independence from things such as office dynamcs,71%,62%
To earn extra money,71%,75%
To be able to pursue work I am passionate about or find meaningful,71%,66%
To be able to spend more time with family,68%,54%
