Number of days since reaching 50 cases,Moscow,Saint Petersburg,Moscow Oblast,Nizhny Novgorod Oblast,Sverdlovsk Oblast
278,722178,-,-,-,-
277,715241,-,-,-,-
276,708530,-,-,-,-
275,703502,-,-,-,-
274,698084,-,-,-,-
273,692210,-,-,-,-
272,685785,-,-,-,-
271,679163,-,-,-,-
270,671948,-,-,-,-
269,665218,-,-,-,-
268,660073,-,-,-,-
267,654841,-,-,-,-
266,647562,-,135130,-,-
265,640050,-,133645,-,-
264,632057,193300,132174,-,-
263,625189,189543,130697,-,-
262,617439,185780,129305,-,-
261,612248,182022,127821,-,-
260,605724,178257,126377,-,-
259,599213,174486,124984,-,-
258,592415,170718,123614,-,-
257,585095,166942,122263,63302,-
256,577177,163163,120891,62799,53335
255,571102,159389,119550,62303,52933
254,566417,155628,118235,61811,52536
253,560579,151894,116940,61322,52141
252,553713,148153,115694,60829,51757
251,547138,144400,114471,60332,51360
250,539970,140674,113278,59831,50971
249,533068,136980,112130,59336,50570
248,526630,133288,111026,58837,50168
247,522456,129604,109962,58343,49776
246,516574,125907,108893,57861,49391
245,510214,122216,107828,57376,49009
244,503943,118515,106770,56892,48622
243,497516,114820,105748,56397,48233
242,491542,111133,104743,55901,47835
241,485545,107464,103773,55420,47445
240,481068,104043,102802,54947,47063
239,475166,100864,101853,54485,46693
238,468269,97938,100937,54027,46326
237,462518,95270,100050,53556,45945
236,456689,92794,99170,53092,45564
235,450436,90400,98306,52633,45174
234,445181,88088,97467,52180,44775
233,439355,85873,96657,51723,44384
232,434205,83743,95845,51280,43996
231,429409,81704,95059,50833,43612
230,424148,79760,94299,50385,43223
229,419196,77908,93570,49934,42838
228,413928,76152,92869,49490,42460
227,409022,74485,92184,49049,42088
226,405352,72911,91524,48617,41719
225,401040,71426,90880,48210,41361
224,395816,70023,90251,47807,41012
223,391361,68692,89646,47395,40671
222,386908,67434,89058,46954,40338
221,381430,66263,88489,46521,40011
220,377017,65170,87922,46100,39690
219,372628,64139,87366,45686,39376
218,367629,63195,86821,45284,39070
217,362253,62272,86286,44873,38776
216,357643,61376,85762,44444,38479
215,352995,60522,85248,44010,38188
214,347946,59721,84743,43579,37895
213,344004,58963,84247,43157,37613
212,339431,58236,83748,42740,37326
211,334813,57515,83257,42349,37049
210,330418,56800,82777,41960,36766
209,325917,56091,82305,41566,36487
208,321812,55378,81843,41169,36212
207,318111,54668,81377,40768,35934
206,314788,53971,80951,40382,35650
205,311559,53287,80485,40005,35360
204,307477,52592,80025,39636,35069
203,303940,51906,79567,39260,34782
202,300613,51232,79119,38864,34501
201,297729,50573,78680,38480,34225
200,295025,49926,78251,38114,33952
199,292601,49288,77831,37760,33684
198,290293,48686,77391,37428,33425
197,287993,48129,76972,37062,33170
196,285776,47591,76556,36770,32912
195,283760,47063,76145,36481,32663
194,281968,46562,75712,36193,32420
193,280408,46093,75317,35908,32193
192,279358,45632,74970,35627,31974
191,278388,45176,74631,35350,31761
190,277408,44765,74335,35076,31550
189,276493,44358,74076,34805,31342
188,275633,43966,73832,34543,31124
187,274808,43608,73602,34286,30915
186,274003,43306,73380,34039,30717
185,273273,43021,73171,33805,30526
184,272523,42745,72959,33578,30342
183,271793,42494,72733,33374,30163
182,271097,42257,72529,33176,29987
181,270447,42030,72321,32975,29812
180,269777,41798,72116,32776,29640
179,269079,41574,71901,32585,29475
178,268384,41359,71729,32399,29311
177,267742,41151,71536,32224,29154
176,267047,40940,71348,32056,29005
175,266357,40731,71173,31891,28862
174,265737,40517,71008,31724,28716
173,265066,40305,70831,31558,28575
172,264374,40099,70658,31390,28436
171,263684,39888,70507,31230,28299
170,263059,39681,70344,31083,28168
169,262418,39475,70178,30926,28043
168,261733,39276,70008,30764,27922
167,261038,39070,69833,30599,27799
166,260361,38867,69664,30435,27679
165,259707,38651,69500,30274,27554
164,259070,38436,69365,30108,27425
163,258430,38218,69199,29943,27299
162,257749,38008,69032,29804,27172
161,257124,37812,68864,29657,27048
160,256513,37620,68700,29498,26919
159,255826,37425,68537,29342,26788
158,255136,37232,68379,29181,26660
157,254448,37041,68223,29018,26527
156,253757,36852,68077,28859,26401
155,253064,36667,67912,28713,26286
154,252374,36479,67749,28562,26163
153,251686,36293,67599,28409,26038
152,250991,36104,67451,28255,25910
151,250303,35917,67308,28110,25791
150,249611,35733,67165,27967,25668
149,248922,35552,67017,27820,25547
148,248228,35373,66853,27688,25432
147,247534,35191,66692,27550,25315
146,246845,35011,66541,27407,25196
145,246154,34828,66384,27262,25076
144,245468,34647,66233,27129,24960
143,244784,34487,66088,26995,24839
142,244097,34325,65935,26866,24720
141,243406,34168,65781,26744,24598
140,242713,34009,65628,26630,24482
139,242049,33846,65472,26513,24355
138,241359,33684,65324,26391,24226
137,240664,33525,65172,26264,24105
136,239986,33365,65018,26132,23981
135,239315,33204,64865,25994,23842
