Year,Federal,State,Local
2009,58433,285392,267029
2008,49806,295058,265461
2007,51064,285488,265282
2006,52832,269030,256549
2005,51665,263522,247192
2004,49805,258252,240830
2003,45544,260133,228618
2002,41132,256318,223151
2001,36754,252073,218086
2000,35390,241105,210570
1999,32957,227537,206382
1998,30350,215501,199689
1997,27933,203692,192721
1996,27338,195576,188789
1995,27732,177621,188008
1994,27316,187762,186451
1993,26772,175889,181407
1992,24789,174054,176487
1991,22744,173891,172100
1990,22112,171033,169936
1989,21709,167386,131142
