Month,Not seasonally adjusted,Seasonally adjusted
Mar 20,7887,7933
Feb 20,7884,7942
Jan 20,7889,7947
Dec 19,7897,7915
Nov 19,7887,7885
Oct 19,7880,7873
Sep 19,7856,7857
Aug 19,7925,7842
Jul 19,7943,7839
Jun 19,7858,7823
May 19,7801,7814
Apr 19,7777,7814
Mar 19,7769,7813
Feb 19,7748,7804
Jan 19,7730,7790
Dec 18,7754,7776
Nov 18,7774,7775
Oct 18,7760,7754
Sep 18,7743,7745
Aug 18,7806,7719
Jul 18,7797,7692
Jun 18,7713,7677
May 18,7642,7654
Apr 18,7592,7627
Mar 18,7570,7614
Feb 18,7543,7600
Jan 18,7528,7587
Dec 17,7542,7561
Nov 17,7555,7557
Oct 17,7552,7545
Sep 17,7528,7531
Aug 17,7590,7503
Jul 17,7601,7496
Jun 17,7516,7479
May 17,7457,7471
Apr 17,7428,7464
Mar 17,7420,7465
Feb 17,7381,7439
Jan 17,7378,7439
Dec 16,7419,7439
Nov 16,7427,7426
Oct 16,7412,7405
Sep 16,7398,7403
Aug 16,7472,7385
Jul 16,7461,7356
Jun 16,7372,7336
May 16,7318,7331
Apr 16,7289,7321
Mar 16,7246,7292
Feb 16,7224,7282
Jan 16,7216,7275
Dec 15,7242,7261
Nov 15,7247,7247
Oct 15,7253,7244
Sep 15,7239,7245
Aug 15,7323,7236
Jul 15,7321,7217
Jun 15,7232,7192
May 15,7180,7192
Apr 15,7147,7180
Mar 15,7130,7174
Feb 15,7124,7181
Jan 15,7116,7177
Dec 14,7142,7161
Nov 14,7170,7172
Oct 14,7179,7172
Sep 14,7149,7154
Aug 14,7237,7150
Jul 14,7238,7138
Jun 14,7167,7126
May 14,7112,7124
Apr 14,7070,7102
Mar 14,7060,7100
Feb 14,7065,7122
Jan 14,7073,7134
Dec 13,7139,7154
Nov 13,7188,7193
Oct 13,7202,7198
Sep 13,7173,7177
Aug 13,7280,7196
Jul 13,7291,7191
Jun 13,7249,7206
May 13,7202,7217
Apr 13,7191,7224
Mar 13,7199,7235
Feb 13,7185,7240
Jan 13,7201,7263
Dec 12,7274,7286
Nov 12,7291,7299
Oct 12,7307,7309
Sep 12,7309,7312
Aug 12,7395,7313
Jul 12,7403,7303
Jun 12,7358,7314
May 12,7311,7329
Apr 12,7281,7314
Mar 12,7285,7324
Feb 12,7277,7332
Jan 12,7262,7322
Dec 11,7335,7346
Nov 11,7316,7324
Oct 11,7321,7320
Sep 11,7312,7315
Aug 11,7381,7302
Jul 11,7387,7283
Jun 11,7343,7299
May 11,7275,7297
Apr 11,7282,7313
Mar 11,7281,7319
Feb 11,7278,7337
Jan 11,7293,7350
Dec 10,7346,7360
Nov 10,7347,7357
Oct 10,7356,7353
Sep 10,7334,7339
Aug 10,7392,7314
Jul 10,7413,7306
Jun 10,7337,7292
May 10,7281,7300
Apr 10,7266,7296
Mar 10,7239,7271
Feb 10,7230,7282
Jan 10,7242,7295
Dec 09,7297,7310
Nov 09,7294,7302
Oct 09,7325,7326
Sep 09,7343,7350
Aug 09,7445,7368
Jul 09,7481,7381
Jun 09,7453,7408
May 09,7403,7427
Apr 09,7397,7435
Mar 09,7431,7470
Feb 09,7418,7474
Jan 09,7420,7474
Dec 08,7432,7455
Nov 08,7465,7476
Oct 08,7474,7474
Sep 08,7440,7447
Aug 08,7520,7443
Jul 08,7545,7441
Jun 08,7479,7432
May 08,7391,7418
Apr 08,7379,7411
Mar 08,7350,7383
Feb 08,7319,7375
Jan 08,7286,7345
Dec 07,7289,7298
Nov 07,7298,7302
Oct 07,7287,7292
Sep 07,7269,7272
Aug 07,7353,7271
Jul 07,7344,7243
Jun 07,7294,7245
May 07,7180,7206
Apr 07,7167,7208
Mar 07,7152,7179
Feb 07,7090,7147
Jan 07,7060,7126
Dec 06,7116,7118
Nov 06,7087,7087
Oct 06,7058,7058
Sep 06,7054,7052
Aug 06,7108,7023
Jul 06,7118,7007
Jun 06,7047,7009
May 06,6961,6979
Apr 06,6942,6983
Mar 06,6941,6977
Feb 06,6910,6971
Jan 06,6904,6967
Dec 05,6940,6954
Nov 05,6932,6936
Oct 05,6931,6930
Sep 05,6914,6919
Aug 05,6984,6892
Jul 05,7002,6885
Jun 05,6932,6900
May 05,6880,6894
Apr 05,6840,6879
Mar 05,6823,6856
Feb 05,6800,6853
Jan 05,6792,6851
Dec 04,6838,6856
Nov 04,6861,6863
Oct 04,6873,6872
Sep 04,6848,6860
Aug 04,6951,6860
Jul 04,6989,6871
Jun 04,6899,6859
May 04,6853,6871
Apr 04,6818,6872
Mar 04,6825,6860
Feb 04,6819,6874
Jan 04,6810,6871
Dec 03,6853,6860
Nov 03,6878,6870
Oct 03,6878,6887
Sep 03,6867,6866
Aug 03,6986,6888
Jul 03,6988,6891
Jun 03,6946,6890
May 03,6869,6894
Apr 03,6828,6906
Mar 03,6893,6917
Feb 03,6868,6935
Jan 03,6845,6939
