State,Democrat,Republican
District of Columbia*,15,-
Alaska*,-,14
Idaho*,-,14
Kansas*,-,14
Nebraska*,-,14
North Dakota*,-,14
Oklahoma*,-,14
South Dakota*,-,14
Utah*,-,14
Wyoming*,-,14
Minnesota,12,-
Alabama,-,11
Mississippi,-,11
South Carolina,-,11
Texas,-,11
Hawaii*,9,-
Massachusetts,9,-
New York*,9,-
Oregon,9,-
Rhode Island,9,-
Washington*,9,-
California*,8,-
Connecticut*,8,-
Delaware*,8,-
Illinois,8,-
Maine,8,-
Maryland*,8,-
New Jersey*,8,-
Vermont,8,-
Montana*,-,7
Arkansas,-,6
Tennessee,-,6
West Virginia,-,6
Missouri,-,6
Kentucky,-,6
Louisiana,-,6
New Hampshire,5,-
Colorado,4,-
Nevada,4,-
New Mexico,4,-
Virginia,4,-
Indiana,-,3
North Carolina,-,3
Florida,-,2
Iowa,-,2
Ohio,-,2
Arizona,1,-
Georgia,1,-
Michigan,1,-
Pennsylvania,1,-
Wisconsin,1,-
