Year,Algeria,Libya,Mauritania,Morocco,Tunisia
2018*,4080.91,6287.65,1319.27,3365.52,3421.78
2017*,4012.13,4738.59,1268.88,3147.85,3452.67
2016,3918.94,2903.74,1235.17,2996.65,3665.8
2015,4153.32,2719.95,1303.46,2964.96,3827.64
2014,5466.33,3876.41,1488.79,3259.72,4274.47
2013,5477.06,8282.15,1618.22,3200.48,4198.85
2012,5574.51,12693.64,1513.1,2979.74,4137.57
2011,5453.89,5402.25,1537.26,3111.54,4256.84
2010,4480.72,11417.42,1322.34,2896.56,4140.47
2009,3886.06,8524.77,1146.23,2922.59,4131.02
2008,4943.5,12570.87,1275.4,2946.93,4308.91
