Month and year,Imports,Exports
May20,1594.95,774.76
Apr20,1590.15,1079.8
Mar20,2200.52,1837.84
Feb20,2100.22,1482.98
Jan20,2373.12,1438.04
Dec19,2395.75,1684.27
Nov19,2129.79,1792.5
Oct19,2546.62,1810.14
Sep19,2380.8,1690.97
Aug19,2479.07,1559.45
Jul19,2397.8,1453.66
Jun19,2098.38,1577.98
May19,2480.72,1641.18
Apr19,2328.76,1300.11
Mar19,2482.12,1435.78
Feb19,2243.65,1313.27
Jan19,2474.24,1370.18
Dec18,2216.97,1438.28
Nov18,2249.14,1408.19
Oct18,2453.89,1612.95
Sep18,2218.46,1606.23
Aug18,2398.11,1683.14
Jul18,2175.31,1744.73
Jun18,2205.96,1626.12
May18,2147.32,1743.4
Apr18,1966.96,1727.58
Mar18,2380.85,2028.95
Feb18,1900.23,1518.3
Jan18,1907.55,1431.19
Dec17,1853.27,1749.27
Nov17,1994.28,1689.15
Oct17,2327.96,1725.83
Sep17,1991.64,1691.52
Aug17,2050.08,1773.81
Jul17,1855.87,1295.48
Jun17,1909.53,1771.45
May17,2074.13,1717.63
Apr17,1912.0,1700.74
Mar17,1989.13,1913.92
Feb17,1793.56,1593.82
Jan17,1890.21,1549.74
