Race,Tablet,Smartphone
Never arrange to meet someone that I have only met online,84%,85%
Not allowed to talk to strangers,83%,84%
Not allowed to share personal information,83%,81%
Tell my parents if something worries me,82%,82%
Not allowed to spend any money,80%,75%
Be respectful to others online,65%,69%
Only allowed on for a certain amount of time,61%,50%
Only allowed to use certain apps,56%,52%
Ask my parent's permission first,50%,37%
Not allowed to download apps,26%,21%
Not allowed to use it on my own,13%,11%
Other,4%,4%
