Year,Men,Women
Rio 2016,8.38,7.17
London 2012,8.31,7.12
Beijing 2008,8.34,7.04
Athens 2004,8.59,7.07
Sydney 2000,8.55,6.99
Atlanta 1996,8.5,7.12
Barcelona 1992,8.67,7.14
Seoul 1988,8.72,7.4
Los Angeles 1984,8.54,6.96
Moscow 1980,8.54,7.06
Montreal 1976,8.35,6.72
Munich 1972,8.24,6.78
Mexico City 1968,8.9,6.82
Tokyo 1964,8.07,6.76
Rome 1960,8.12,6.37
Melbourne 1956,7.83,6.35
Helsinki 1952,7.57,6.24
London 1948,7.83,5.7
Berlin 1936,8.06,-
Los Angeles 1932,7.64,-
Amsterdam 1928,7.73,-
Paris 1924,7.45,-
Antwerp 2020,7.15,-
Stockholm 1912,7.6,-
London 1908,7.48,-
St. Louis 1904,7.34,-
Paris 1900,7.19,-
Athens 1896,6.35,-
