Response,Germany,United Kingdom,United States
"Health and hygiene (e.g. medicine, hand sanitizer)",33%,36%,43%
Household cleaning products,18%,30%,40%
"Food and drinks (e.g. shopping, takeaways, delivery)",22%,32%,31%
"Home entertainment (e.g. video, games, books)",20%,21%,26%
Hobbies,10%,16%,19%
"Housing, energy, maintenance (e.g. electricity, waste disposal, DIY)",11%,25%,17%
"Consumer electronics, household appliances, furniture",8%,7%,9%
Clothing,4%,5%,7%
Investments,5%,5%,7%
"Going out (e.g. restaurants, cinemas, pubs / bars)",2%,1%,4%
Insurance,2%,2%,4%
Childcare,3%,3%,4%
Services (e.g. hairdresser),5%,2%,3%
"Travel (e.g. public transport, vacations)",2%,1%,3%
