Response,Very important,Rather important,Neutral,Rather unimportant,Not important
Product quality,71%,24%,4%,-,-
Detailed product descriptions,60%,32%,7%,-,-
Prices,59%,32%,8%,1%,-
Transparent and simple return policy,56%,33%,9%,1%,-
Available payment methods,56%,32%,10%,1%,1%
Product range,46%,36%,15%,3%,1%
Free shipping,42%,35%,19%,3%,1%
Information on returns directly during payment,43%,33%,19%,4%,1%
Online shop image,35%,38%,23%,3%,1%
Customer ratings,35%,36%,22%,5%,2%
Quality seals,29%,34%,27%,7%,2%
Shipping service options,24%,33%,28%,12%,3%
Degree of online shop awareness,21%,30%,35%,11%,3%
