Year,Cases,Deaths
12/3/2020,553898,15438
12/2/2020,552864,15430
12/1/2020,551743,15410
11/30/2020,550430,15356
11/29/2020,548941,15322
11/28/2020,547223,15278
11/27/2020,545662,15235
11/26/2020,544092,15138
11/25/2020,543087,15131
11/24/2020,542080,15106
11/23/2020,540640,15069
11/22/2020,539143,15030
11/21/2020,537585,15003
11/20/2020,536012,14955
11/19/2020,534558,14897
11/18/2020,533610,14883
11/17/2020,532604,14863
11/16/2020,531273,14819
11/15/2020,529676,14777
11/14/2020,528030,14738
11/13/2020,526438,14699
11/12/2020,524804,14633
11/11/2020,523907,14611
11/10/2020,522879,14588
11/9/2020,521558,14543
11/8/2020,519977,14499
11/7/2020,518390,14450
11/6/2020,516582,14404
11/5/2020,515042,14340
11/4/2020,514202,14319
11/3/2020,513188,14302
11/2/2020,511864,14247
11/1/2020,510256,14207
10/31/2020,508571,14158
10/30/2020,507050,14118
10/29/2020,505530,14032
10/28/2020,504525,14026
10/27/2020,503598,14003
10/26/2020,502063,13944
10/25/2020,500542,13892
10/24/2020,498906,13844
10/23/2020,497131,13792
10/22/2020,495637,13719
10/21/2020,494478,13702
10/20/2020,493305,13676
10/19/2020,491760,13635
10/18/2020,490003,13588
10/17/2020,488190,13529
10/16/2020,486496,13434
10/15/2020,485372,13415
10/14/2020,484280,13396
10/13/2020,482888,13379
10/12/2020,481371,13318
10/11/2020,479595,13272
10/10/2020,477769,13220
10/9/2020,476016,13167
10/8/2020,474440,13090
10/7/2020,473306,13070
10/6/2020,471746,13037
10/5/2020,470179,12979
10/4/2020,468471,12919
10/3/2020,466590,12867
10/2/2020,464750,12822
10/1/2020,462991,12741
9/30/2020,461300,12725
9/29/2020,459671,12698
9/28/2020,457901,12641
9/27/2020,455979,12591
9/26/2020,453868,12527
9/25/2020,451634,12469
9/24/2020,449903,12345
9/23/2020,448523,12321
9/22/2020,447468,12298
9/21/2020,446274,12286
9/20/2020,444674,12254
9/19/2020,442827,12199
9/18/2020,441150,12142
9/17/2020,439287,12058
9/16/2020,437983,12040
9/15/2020,436433,12013
9/14/2020,434748,11949
9/13/2020,432666,11895
9/12/2020,430535,11850
9/11/2020,428669,11781
9/10/2020,427027,11702
9/9/2020,425541,11682
9/8/2020,424274,11652
9/7/2020,422510,11592
9/6/2020,420434,11551
9/5/2020,418469,11494
9/4/2020,416501,11422
9/3/2020,414739,11344
9/2/2020,413145,11321
9/1/2020,411726,11289
8/31/2020,409974,11244
8/30/2020,408009,11181
8/29/2020,405972,11132
8/28/2020,404102,11072
8/27/2020,402365,10990
8/26/2020,400985,10958
8/25/2020,399568,10916
8/24/2020,397665,10852
8/23/2020,395708,10792
8/22/2020,393769,10723
8/21/2020,391849,10671
8/20/2020,390037,10578
8/19/2020,388855,10546
8/18/2020,387502,10513
8/17/2020,385946,10452
8/16/2020,383902,10395
8/15/2020,382111,10340
8/14/2020,380034,10299
8/13/2020,378168,10205
8/12/2020,376616,10178
8/11/2020,375044,10139
8/10/2020,373056,10077
8/9/2020,371023,10011
8/8/2020,368825,9958
8/7/2020,366671,9889
8/6/2020,364723,9792
8/5/2020,362962,9745
8/4/2020,361493,9707
8/3/2020,359731,9608
