Country,Not a moral issue,Acceptable,Unacceptable
Ghana,2%,10%,80%
Uganda,6%,9%,76%
Pakistan,5%,10%,73%
Philippines,7%,25%,67%
Nigeria,12%,12%,61%
Kenya,13%,17%,59%
Indonesia,10%,20%,57%
India,10%,18%,53%
Bolivia,10%,29%,49%
El Salvador,9%,30%,48%
Tunisia,22%,16%,46%
Malaysia,22%,16%,45%
South Africa,15%,16%,40%
Mexico,16%,41%,33%
Senegal,16%,35%,32%
Turkey,24%,32%,27%
South Korea,29%,32%,25%
China,18%,45%,25%
Brazil,10%,62%,24%
Venezuela,8%,58%,24%
Israel,34%,33%,23%
Palestinian ter.,27%,27%,23%
Poland,24%,35%,22%
Russia,13%,46%,22%
United States,36%,33%,22%
Greece,28%,42%,19%
Italy,23%,48%,18%
Chile,16%,64%,17%
Argentina,20%,60%,17%
Japan,27%,55%,13%
Czech Republic,21%,60%,11%
Britain,42%,41%,9%
Australia,43%,43%,9%
Lebanon,28%,48%,9%
Canada,47%,37%,9%
Egypt,30%,51%,7%
Germany,32%,58%,7%
Jordan,29%,54%,6%
France,52%,43%,5%
Spain,37%,57%,4%
