President,Children,Adopted,Alleged
George Washington,-,2,-
John Adams *,6,-,-
Thomas Jefferson *,6,-,8
James Madison,-,2,-
James Monroe *,3,-,-
John Quincy Adams *,5,-,-
Andrew Jackson,-,3,-
Martin Van Buren *,6,-,-
William Henry Harrison,10,-,6
John Tyler,15,-,1
James K. Polk,0,-,-
Zachary Taylor,6,-,-
Millard Fillmore,2,-,-
Franklin Pierce,3,-,-
James Buchanan,-,2,-
Abraham Lincoln,4,-,-
Andrew Johnson,5,-,-
Ulysses S. Grant,4,-,-
Rutherford B. Hayes,8,-,-
James A. Garfield,7,-,-
Chester A. Arthur,3,-,-
Grover Cleveland,5,-,1
Benjamin Harrison,4,-,-
William McKinley,2,-,-
Theodore Roosevelt,6,-,-
William Howard Taft,3,-,-
Woodrow Wilson,3,-,-
Warren G. Harding,-,1,1
Calvin Coolidge,2,-,-
Herbert Hoover,2,-,-
Franklin D. Roosevelt,6,-,-
Harry S. Truman,1,-,-
Dwight D. Eisenhower,2,-,-
John F. Kennedy *,4,-,-
Lyndon B. Johnson,2,-,-
Richard Nixon,2,-,-
Gerald Ford,4,-,-
Jimmy Carter,4,-,-
Ronald Raegan *,4,1,-
George H. W. Bush,6,-,-
Bill Clinton,1,-,-
George W. Bush,2,-,-
Barack Obama,2,-,-
Donald Trump,5,-,-
Joe Biden**,4,-,-
