Month and year,Imports,Exports
May20,83.94,25.13
Apr20,99.85,8.62
Mar20,239.79,18.64
Feb20,277.46,23.6
Jan20,169.17,24.62
Dec19,224.49,17.21
Nov19,282.42,22.79
Oct19,421.43,31.31
Sep19,328.07,14.9
Aug19,413.01,56.54
Jul19,285.95,43.32
Jun19,257.57,17.14
May19,392.16,23.68
Apr19,315.23,34.06
Mar19,271.61,37.11
Feb19,299.37,26.79
Jan19,293.02,38.25
Dec18,249.96,47.16
Nov18,344.95,28.54
Oct18,325.81,22.74
Sep18,389.08,45.85
Aug18,468.86,33.5
Jul18,638.79,66.99
Jun18,451.08,27.38
May18,393.27,61.28
Apr18,319.99,32.32
Mar18,377.23,50.18
Feb18,252.4,47.92
Jan18,314.57,29.64
Dec17,414.89,27.74
Nov17,453.76,37.53
Oct17,349.05,40.26
Sep17,300.26,19.92
Aug17,297.14,44.22
Jul17,317.61,17.06
Jun17,220.12,60.33
May17,374.8,79.97
Apr17,259.31,21.26
Mar17,270.01,29.7
Feb17,324.1,36.21
Jan17,233.8,35.73
