Country,Not a moral issue,Acceptable,Unacceptable
Pakistan,3%,0%,95%
Ghana,3%,3%,91%
Palestinian ter.,7%,1%,91%
Jordan,6%,2%,91%
Tunisia,4%,2%,91%
Egypt,5%,3%,91%
Indonesia,8%,2%,88%
El Salvador,10%,6%,82%
Uganda,11%,3%,80%
Turkey,12%,5%,80%
South Korea,12%,7%,78%
Nigeria,16%,1%,77%
Lebanon,17%,4%,77%
Malaysia,13%,8%,76%
India,16%,7%,69%
Czech Republic,19%,11%,65%
Kenya,21%,5%,65%
Brazil,19%,15%,64%
Senegal,21%,7%,63%
Russia,18%,10%,62%
Bolivia,17%,11%,61%
Philippines,18%,20%,61%
Venezuela,15%,20%,59%
China,28%,8%,55%
Greece,37%,7%,52%
Israel,30%,16%,51%
Mexico,30%,13%,49%
Argentina,25%,20%,49%
Chile,27%,15%,48%
South Africa,27%,18%,40%
Australia,39%,18%,36%
Italy,48%,12%,33%
Poland,38%,22%,33%
Germany,41%,25%,31%
Japan,28%,38%,31%
Spain,51%,17%,28%
Britain,45%,22%,26%
United States,47%,25%,24%
Canada,55%,19%,23%
France,56%,31%,13%
