Response,Global Technology Services,Cloud & Cognitive Software,Global Business Services,Systems,Global Financing,Other,Systems Hardware,Software,Systems and Technology,Cognitive Solutions,Technology Services & Cloud Platforms
2019,27.36,23.2,16.63,7.6,1.4,0.95,-,-,-,-,-
2018*,29.15,22.21,16.6,8.03,1.59,2.02,-,-,-,-,-
2017,-,-,16.35,8.19,1.7,0.17,-,-,-,18.45,34.28
2016,-,-,16.7,7.71,1.69,0.29,-,-,-,18.19,35.34
2015,-,-,17.16,9.55,1.84,0.21,-,-,-,17.84,35.14
2014,37.1,-,17.8,-,2.0,0.5,-,25.4,10,-,-
2013,38.55,-,18.4,-,2.02,0.49,-,25.93,14.37,-,-
2012,40.24,-,18.57,-,2.01,0.58,-,25.45,17.67,-,-
2011,40.88,-,19.28,-,2.1,0.72,-,24.94,18.99,-,-
2010,38.2,-,18.22,-,2.24,0.75,-,22.49,17.97,-,-
