Month and year,Imports,Exports
May20,328.49,117.72
Apr20,283.32,140.22
Mar20,355.57,136.22
Feb20,424.66,150.28
Jan20,526.0,182.6
Dec19,488.63,166.63
Nov19,478.37,189.1
Oct19,504.09,282.58
Sep19,421.96,203.16
Aug19,421.83,275.7
Jul19,461.91,170.14
Jun19,359.7,171.57
May19,329.66,182.82
Apr19,269.6,193.98
Mar19,281.76,162.46
Feb19,307.54,155.53
Jan19,318.81,146.36
Dec18,372.16,175.33
Nov18,369.34,185.79
Oct18,321.69,233.98
Sep18,328.34,226.16
Aug18,290.9,232.57
Jul18,304.67,213.62
Jun18,327.96,171.22
May18,307.5,206.14
Apr18,307.25,165.33
Mar18,298.61,192.54
Feb18,281.24,209.16
Jan18,325.54,182.51
Dec17,307.78,205.28
Nov17,282.59,209.46
Oct17,310.15,252.51
Sep17,259.84,240.02
Aug17,287.83,245.94
Jul17,282.87,185.08
Jun17,295.18,179.53
May17,287.61,156.23
Apr17,253.99,167.86
Mar17,241.0,168.02
Feb17,233.81,182.4
Jan17,263.78,164.98
