Month and year,Imports,Exports
May20,19194.23,3755.01
Apr20,16551.58,3745.93
Mar20,11185.58,5127.0
Feb20,9045.64,6021.7
Jan20,9825.68,6181.59
Dec19,11375.66,6013.28
Nov19,10460.57,6586.9
Oct19,12960.75,6059.94
Sep19,10788.35,6295.8
Aug19,11083.87,5595.82
Jul19,11503.0,5514.34
Jun19,9861.57,6641.82
May19,11602.27,6792.24
Apr19,11000.82,6030.8
Mar19,11140.31,6943.82
Feb19,9902.35,7192.22
Jan19,11252.23,6185.57
Dec18,10668.4,6097.36
Nov18,11322.36,6450.84
Oct18,14094.31,7609.4
Sep18,11584.31,8337.97
Aug18,11612.06,6551.0
Jul18,11730.16,6063.77
Jun18,10561.24,8183.31
May18,12126.88,7193.56
Apr18,11811.74,6797.81
Mar18,10873.11,7988.34
Feb18,9970.41,8539.37
Jan18,10778.37,7478.17
Dec17,10849.11,7081.29
Nov17,11446.28,7326.25
Oct17,12320.76,7190.82
Sep17,10357.06,8054.23
Aug17,10096.68,6132.09
Jul17,10597.25,5553.5
Jun17,10105.22,7500.75
May17,11004.49,6567.04
Apr17,10581.69,6124.34
Mar17,10241.24,7354.21
Feb17,8988.89,6905.16
Jan17,10341.84,6279.11
