metropolitan areas in Canada,Men,Women
"Toronto, Ontario",3179.9,3291.95
"Montréal, Quebec",2140.79,2177.72
"Vancouver, British Columbia",1324.28,1367.07
"Calgary, Alberta",758.97,755.76
"Edmonton, Alberta",725.99,721.16
"Ottawa-Gatineau, Ontario/Quebec",710.03,731.09
"Winnipeg, Manitoba",419.57,424.99
"Québec, Quebec",409.4,415.01
"Hamilton, Ontario",391.24,403.48
"Kitchener-Cambridge-Waterloo, Ontario",293.46,290.8
"London, Ontario",268.61,276.83
"Halifax, Nova Scotia",215.62,224.73
"St. Catharines-Niagara, Ontario",213.96,220.97
"Oshawa, Ontario",204.55,209.38
"Victoria, British Columbia",196.33,205.94
"Windsor, Ontario",177.08,177.84
"Saskatoon, Saskatchewan",165.47,165.2
"Regina, Saskatchewan",131.52,130.16
"Sherbrooke, Quebec",109.66,111.39
"Kelowna, British Columbia",107.32,109.91
"Barrie, Ontario",106.51,107.15
"St. John's, Newfoundland and Labrador",104.54,107.89
"Abbotsford-Mission, British Columbia",102.64,99.31
"Kingston, Ontario",86.7,89.01
"Greater Sudbury, Ontario",85.37,86.85
"Saguenay, Quebec",82.15,80.27
"Guelph, Ontario",81.68,83.56
"Trois-Rivières, Quebec",79.23,81.46
"Moncton, New Brunswick",76.87,78.96
"Brantford, Ontario",74.1,74.92
"Saint John, New Brunswick",64.05,66.97
"Peterborough, Ontario",63.76,67.65
"Thunder Bay, Ontario",63.31,63.89
