Response,Germany,United Kingdom,United States
5/31,5.6,6.3,6.6
5/30,5.9,6.6,6.4
5/29,5.3,6.7,6.4
5/28,6.0,6.4,6.3
5/27,5.6,7.0,6.6
5/26,6.0,6.7,6.5
5/25,5.7,6.4,6.3
5/24,5.7,7.0,6.4
5/23,6.0,6.9,6.5
5/22,6.0,6.6,6.3
5/21,6.0,6.7,6.3
5/20,6.0,6.9,6.5
5/19,6.1,7.1,6.6
5/18,6.1,6.7,6.3
5/17,5.6,6.7,6.8
5/16,5.7,6.6,6.8
5/15,5.9,6.7,6.6
5/14,5.9,6.9,6.9
5/13,5.6,7.0,6.8
5/12,5.9,6.6,6.7
5/11,6.2,6.6,6.5
5/10,5.6,6.6,6.4
5/09,5.9,6.8,6.2
5/08,6.0,6.4,6.7
5/07,6.2,6.6,6.8
5/06,6.4,7.0,7.0
5/05,6.4,6.6,7.0
5/04,6.1,6.8,6.3
5/03,6.0,7.0,6.5
5/02,6.2,7.0,7.1
5/01,6.4,6.9,7.0
4/30,6.3,7.3,6.8
4/29,5.9,7.2,6.9
4/28,6.3,7.0,7.0
4/27,6.3,6.9,7.1
4/26,6.5,7.0,7.0
4/25,6.0,7.1,7.3
4/24,6.3,6.6,7.3
4/23,6.3,6.7,6.9
4/22,5.9,7.1,6.6
4/21,6.1,6.6,6.8
4/20,6.0,7.3,7.4
4/19,6.3,6.9,7.1
4/18,6.1,6.7,6.8
4/17,6.7,7.1,7.1
4/16,6.3,6.9,7.1
4/15,6.3,7.2,6.8
4/14,6.4,7.0,7.0
4/13,6.1,6.5,7.2
4/12,6.2,6.9,7.2
4/11,6.4,7.4,7.2
4/10,6.2,6.9,7.1
4/09,6.3,7.3,7.0
4/08,6.7,7.2,7.3
4/07,6.5,7.4,6.7
4/06,6.2,7.2,6.9
4/05,7.2,7.3,7.4
4/04,6.3,7.3,7.3
4/03,6.5,7.2,7.0
4/02,6.9,7.0,7.2
4/01,6.9,7.2,6.9
3/31,6.9,7.4,6.6
3/30,6.1,7.7,6.8
3/29,6.5,7.4,7.3
3/28,6.3,7.2,7.1
3/27,6.9,7.5,7.4
3/26,6.6,7.7,7.0
3/25,6.5,7.1,7.0
3/24,6.3,7.3,6.7
3/23,7.2,7.3,7.3
